,genericArticle_genericArticleId,genericArticle_genericArticleDescription,genericArticle_legacyArticleId,genericArticle_linkageTargetTypes,dataSupplierId,articleNumber,mfrId,mfrName,searchQuery,oem_articleNumber,oem_mfrId,oem_mfrName,oem_matchesSearchQuery
38,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,A0044208420,74,MERCEDES-BENZ,False
39,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,A0044208920,74,MERCEDES-BENZ,False
40,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,A0044209520,74,MERCEDES-BENZ,False
41,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,A0054201120,74,MERCEDES-BENZ,False
42,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,A0054203320,74,MERCEDES-BENZ,False
43,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,A0054206620,74,MERCEDES-BENZ,False
44,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,A0054208920,74,MERCEDES-BENZ,False
45,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,A0064202920,74,MERCEDES-BENZ,False
46,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,A0064206720,74,MERCEDES-BENZ,False
47,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,A0064207720,74,MERCEDES-BENZ,False
48,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,A0064208720,74,MERCEDES-BENZ,False
49,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,A0074200120,74,MERCEDES-BENZ,False
50,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,A0074200820,74,MERCEDES-BENZ,False
51,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,A0074202720,74,MERCEDES-BENZ,False
