matchType,description,match,mfrId,mfrName,part_dataSupplierId,part_articleNumber,part_mfrName,genericArticleId,genericArticleDescription,legacyArticleId,OEM SKU
OENumber,OE Number,12684,661.0,CASE IH,81,E712LS,HENGST FILTER,2470.0,Secondary Air Filter,37962072.0,02599
OENumber,OE Number,36772,669.0,MASSEY FERGUSON,101,107617,FEBI BILSTEIN,416.0,"Hydraulic Filter, automatic transmission",526797888.0,12580
OENumber,OE Number,36772,669.0,MASSEY FERGUSON,256,OP 720,FILTRON,7.0,Oil Filter,860123362.0,12580
OENumber,OE Number,36772,669.0,MASSEY FERGUSON,81,H18W11,HENGST FILTER,416.0,"Hydraulic Filter, automatic transmission",84287440.0,12580
OENumber,OE Number,36772,669.0,MASSEY FERGUSON,81,HY18W11,HENGST FILTER,417.0,"Hydraulic Filter, steering",860123363.0,12580
OENumber,OE Number,36772,669.0,MASSEY FERGUSON,4,WH 980/3,MANN-FILTER,536.0,"Filter, operating hydraulics",860123364.0,12580
OENumber,OE Number,36772,669.0,MASSEY FERGUSON,324,51494,WIX FILTERS,7.0,Oil Filter,38020844.0,12580
,,,,,,,,416.0,"Hydraulic Filter, automatic transmission",38020860.0,12580
,,,,,,,,536.0,"Filter, operating hydraulics",38020876.0,12580
,,,,,,,,7.0,Oil Filter,1216924618.0,12580
,,,,,,,,416.0,"Hydraulic Filter, automatic transmission",1216924619.0,12580
,,,,,,,,536.0,"Filter, operating hydraulics",1216924620.0,12580
,,,,,,,,7.0,Oil Filter,7559648.0,12580
,,,,,,,,416.0,"Hydraulic Filter, automatic transmission",7559664.0,12580
,,,,,,,,417.0,"Hydraulic Filter, steering",506737146.0,12580
,,,,,,,,536.0,"Filter, operating hydraulics",7559680.0,12580
,,,,,,,,7.0,Oil Filter,860689835.0,12580
,,,,,,,,416.0,"Hydraulic Filter, automatic transmission",98419947.0,12580
,,,,,,,,417.0,"Hydraulic Filter, steering",860689836.0,12580
,,,,,,,,536.0,"Filter, operating hydraulics",860689837.0,12580
OENumber,OE Number,36772,669.0,MASSEY FERGUSON,101,107617,FEBI BILSTEIN,416.0,"Hydraulic Filter, automatic transmission",526797888.0,24475
OENumber,OE Number,36772,669.0,MASSEY FERGUSON,256,OP 720,FILTRON,7.0,Oil Filter,860123362.0,24475
OENumber,OE Number,36772,669.0,MASSEY FERGUSON,81,H18W11,HENGST FILTER,416.0,"Hydraulic Filter, automatic transmission",84287440.0,24475
OENumber,OE Number,36772,669.0,MASSEY FERGUSON,81,HY18W11,HENGST FILTER,417.0,"Hydraulic Filter, steering",860123363.0,24475
OENumber,OE Number,36772,669.0,MASSEY FERGUSON,4,WH 980/3,MANN-FILTER,536.0,"Filter, operating hydraulics",860123364.0,24475
OENumber,OE Number,36772,669.0,MASSEY FERGUSON,324,51494,WIX FILTERS,7.0,Oil Filter,38020844.0,24475
,,,,,,,,416.0,"Hydraulic Filter, automatic transmission",38020860.0,24475
,,,,,,,,536.0,"Filter, operating hydraulics",38020876.0,24475
,,,,,,,,7.0,Oil Filter,1216924618.0,24475
,,,,,,,,416.0,"Hydraulic Filter, automatic transmission",1216924619.0,24475
,,,,,,,,536.0,"Filter, operating hydraulics",1216924620.0,24475
,,,,,,,,7.0,Oil Filter,7559648.0,24475
,,,,,,,,416.0,"Hydraulic Filter, automatic transmission",7559664.0,24475
,,,,,,,,417.0,"Hydraulic Filter, steering",506737146.0,24475
,,,,,,,,536.0,"Filter, operating hydraulics",7559680.0,24475
,,,,,,,,7.0,Oil Filter,860689835.0,24475
,,,,,,,,416.0,"Hydraulic Filter, automatic transmission",98419947.0,24475
,,,,,,,,417.0,"Hydraulic Filter, steering",860689836.0,24475
,,,,,,,,536.0,"Filter, operating hydraulics",860689837.0,24475
OENumber,OE Number,36772,669.0,MASSEY FERGUSON,101,107617,FEBI BILSTEIN,416.0,"Hydraulic Filter, automatic transmission",526797888.0,36772
OENumber,OE Number,36772,669.0,MASSEY FERGUSON,256,OP 720,FILTRON,7.0,Oil Filter,860123362.0,36772
OENumber,OE Number,36772,669.0,MASSEY FERGUSON,81,H18W11,HENGST FILTER,416.0,"Hydraulic Filter, automatic transmission",84287440.0,36772
OENumber,OE Number,36772,669.0,MASSEY FERGUSON,81,HY18W11,HENGST FILTER,417.0,"Hydraulic Filter, steering",860123363.0,36772
OENumber,OE Number,36772,669.0,MASSEY FERGUSON,4,WH 980/3,MANN-FILTER,536.0,"Filter, operating hydraulics",860123364.0,36772
OENumber,OE Number,36772,669.0,MASSEY FERGUSON,324,51494,WIX FILTERS,7.0,Oil Filter,38020844.0,36772
,,,,,,,,416.0,"Hydraulic Filter, automatic transmission",38020860.0,36772
,,,,,,,,536.0,"Filter, operating hydraulics",38020876.0,36772
,,,,,,,,7.0,Oil Filter,1216924618.0,36772
,,,,,,,,416.0,"Hydraulic Filter, automatic transmission",1216924619.0,36772
,,,,,,,,536.0,"Filter, operating hydraulics",1216924620.0,36772
,,,,,,,,7.0,Oil Filter,7559648.0,36772
,,,,,,,,416.0,"Hydraulic Filter, automatic transmission",7559664.0,36772
,,,,,,,,417.0,"Hydraulic Filter, steering",506737146.0,36772
,,,,,,,,536.0,"Filter, operating hydraulics",7559680.0,36772
,,,,,,,,7.0,Oil Filter,860689835.0,36772
,,,,,,,,416.0,"Hydraulic Filter, automatic transmission",98419947.0,36772
,,,,,,,,417.0,"Hydraulic Filter, steering",860689836.0,36772
,,,,,,,,536.0,"Filter, operating hydraulics",860689837.0,36772
OENumber,OE Number,36772,669.0,MASSEY FERGUSON,101,107617,FEBI BILSTEIN,416.0,"Hydraulic Filter, automatic transmission",526797888.0,31524
OENumber,OE Number,36772,669.0,MASSEY FERGUSON,256,OP 720,FILTRON,7.0,Oil Filter,860123362.0,31524
OENumber,OE Number,36772,669.0,MASSEY FERGUSON,81,H18W11,HENGST FILTER,416.0,"Hydraulic Filter, automatic transmission",84287440.0,31524
OENumber,OE Number,36772,669.0,MASSEY FERGUSON,81,HY18W11,HENGST FILTER,417.0,"Hydraulic Filter, steering",860123363.0,31524
OENumber,OE Number,36772,669.0,MASSEY FERGUSON,4,WH 980/3,MANN-FILTER,536.0,"Filter, operating hydraulics",860123364.0,31524
OENumber,OE Number,36772,669.0,MASSEY FERGUSON,324,51494,WIX FILTERS,7.0,Oil Filter,38020844.0,31524
,,,,,,,,416.0,"Hydraulic Filter, automatic transmission",38020860.0,31524
,,,,,,,,536.0,"Filter, operating hydraulics",38020876.0,31524
,,,,,,,,7.0,Oil Filter,1216924618.0,31524
,,,,,,,,416.0,"Hydraulic Filter, automatic transmission",1216924619.0,31524
,,,,,,,,536.0,"Filter, operating hydraulics",1216924620.0,31524
,,,,,,,,7.0,Oil Filter,7559648.0,31524
,,,,,,,,416.0,"Hydraulic Filter, automatic transmission",7559664.0,31524
,,,,,,,,417.0,"Hydraulic Filter, steering",506737146.0,31524
,,,,,,,,536.0,"Filter, operating hydraulics",7559680.0,31524
,,,,,,,,7.0,Oil Filter,860689835.0,31524
,,,,,,,,416.0,"Hydraulic Filter, automatic transmission",98419947.0,31524
,,,,,,,,417.0,"Hydraulic Filter, steering",860689836.0,31524
,,,,,,,,536.0,"Filter, operating hydraulics",860689837.0,31524
OENumber,OE Number,15429,4103.0,SCHWARZMÜLLER,2,8RA 004 412-011,HELLA,2501.0,Reflector,6420746.0,15429
OENumber,OE Number,44564,4103.0,SCHWARZMÜLLER,2,8KW 733 815-003,HELLA,822.0,Cable Connector,6272148.0,44564
OENumber,OE Number,12100,162.0,NEOPLAN,32,101 372,SACHS,854.0,Shock Absorber,16458579.0,09463
OENumber,OE Number,170910,804.0,CITROËN/PEUGEOT,140,023158H,CORTECO,138.0,"Gasket, exhaust pipe",59015250.0,170910
OENumber,OE Number,170910,804.0,CITROËN/PEUGEOT,140,423154H,CORTECO,138.0,"Gasket, exhaust pipe",59417574.0,170910
OENumber,OE Number,170910,21.0,CITROËN,4391,1607360380,EUROREPAR,138.0,"Gasket, exhaust pipe",442695460.0,170910
OENumber,OE Number,170910,88.0,PEUGEOT,4391,1607360380,EUROREPAR,138.0,"Gasket, exhaust pipe",8452533.0,170910
OENumber,OE Number,170910,804.0,CITROËN/PEUGEOT,4391,1607360380,EUROREPAR,,,,170910
OENumber,OE Number,1709.10,21.0,CITROËN,9,71-31862-00,VICTOR REINZ,,,,170910
OENumber,OE Number,1709.10,88.0,PEUGEOT,9,71-31862-00,VICTOR REINZ,,,,170910
OENumber,OE Number,174896,131.0,ASTRA,30,4 533 002 499,BOSCH,679.0,"Valve, power steering",706068122.0,174896
OENumber,OE Number,174896,131.0,ASTRA,30,4 533 003 789,BOSCH,679.0,"Valve, power steering",1175020049.0,174896
OENumber,OE Number,60015-49444,80.0,NISSAN,350,ADN10326,BLUE PRINT,794.0,"Washer Fluid Pump, window cleaning",216523073.0,04001
OENumber,OE Number,60 01 549 444,93.0,RENAULT,350,ADN10326,BLUE PRINT,794.0,"Washer Fluid Pump, window cleaning",47462872.0,04001
OENumber,OE Number,60 01 549 444,139.0,DACIA,350,ADN10326,BLUE PRINT,794.0,"Washer Fluid Pump, window cleaning",56695682.0,04001
OENumber,OE Number,60015-49444,80.0,NISSAN,101,24633,FEBI BILSTEIN,,,,04001
OENumber,OE Number,60 01 549 444,93.0,RENAULT,101,24633,FEBI BILSTEIN,,,,04001
OENumber,OE Number,60 01 549 444,139.0,DACIA,101,24633,FEBI BILSTEIN,,,,04001
OENumber,OE Number,60 01 549 444,93.0,RENAULT,133,90047,MAPCO,,,,04001
OENumber,OE Number,60 01 549 444,139.0,DACIA,133,90047,MAPCO,,,,04001
OENumber,OE Number,60015-49444,80.0,NISSAN,350,ADN10326,BLUE PRINT,794.0,"Washer Fluid Pump, window cleaning",216523073.0,6001549444
OENumber,OE Number,60 01 549 444,93.0,RENAULT,350,ADN10326,BLUE PRINT,794.0,"Washer Fluid Pump, window cleaning",47462872.0,6001549444
OENumber,OE Number,60 01 549 444,139.0,DACIA,350,ADN10326,BLUE PRINT,794.0,"Washer Fluid Pump, window cleaning",56695682.0,6001549444
OENumber,OE Number,60015-49444,80.0,NISSAN,101,24633,FEBI BILSTEIN,,,,6001549444
OENumber,OE Number,60 01 549 444,93.0,RENAULT,101,24633,FEBI BILSTEIN,,,,6001549444
OENumber,OE Number,60 01 549 444,139.0,DACIA,101,24633,FEBI BILSTEIN,,,,6001549444
OENumber,OE Number,60 01 549 444,93.0,RENAULT,133,90047,MAPCO,,,,6001549444
OENumber,OE Number,60 01 549 444,139.0,DACIA,133,90047,MAPCO,,,,6001549444
OENumber,OE Number,2001008,4099.0,KEMPF,22,4231069000,WABCO,359.0,Diaphragm Brake Cylinder,14440873.0,20.01.008
OENumber,OE Number,24794,138.0,CHEVROLET,4391,1675990780,EUROREPAR,402.0,"Brake Pad Set, disc brake",809528977.0,24794
OENumber,OE Number,305.16,21.0,CITROËN,101,38179,FEBI BILSTEIN,593.0,"Screw Plug, oil sump",48991539.0,30516
OENumber,OE Number,305.16,88.0,PEUGEOT,101,38179,FEBI BILSTEIN,593.0,"Screw Plug, oil sump",629859945.0,30516
OENumber,OE Number,30516,21.0,CITROËN,129,PA-033,OPTIMAL,593.0,"Screw Plug, oil sump",67554219.0,30516
OENumber,OE Number,30516,88.0,PEUGEOT,129,PA-033,OPTIMAL,,,,30516
OENumber,OE Number,305.16,21.0,CITROËN,162,V25-1756,VAICO,,,,30516
OENumber,OE Number,08 18 020,84.0,OPEL,350,ADL142301,BLUE PRINT,9.0,Fuel Filter,101401217.0,08.18.020
OENumber,OE Number,08 18 020,84.0,OPEL,101,30757,FEBI BILSTEIN,9.0,Fuel Filter,48051234.0,08.18.020
OENumber,OE Number,0818020,84.0,OPEL,287,KL 567,MAHLE,9.0,Fuel Filter,92746890.0,08.18.020
OENumber,OE Number,0818020,84.0,OPEL,4008,MMF035020,MANDO,9.0,Fuel Filter,647338123.0,08.18.020
OENumber,OE Number,172687,21.0,CITROËN,4391,E12810G,EUROREPAR,3437.0,Rear Muffler,609183445.0,172687
OENumber,OE Number,172687,804.0,CITROËN/PEUGEOT,4391,E12810G,EUROREPAR,,,,172687
OENumber,OE Number,0816021,84.0,OPEL,21,247089,VALEO,458.0,Fuel Pump,12693872.0,08.16.021
OENumber,OE Number,173185,21.0,CITROËN,4391,1609434980,EUROREPAR,429.0,Catalytic Converter,442702576.0,173185
OENumber,OE Number,12795,4103.0,SCHWARZMÜLLER,2,8JS 089 015-003,HELLA,818.0,Fuse,6268564.0,12795
OENumber,OE Number,08061,848.0,NOOTEBOOM,22,9710023000,WABCO,356.0,"Brake Valve, trailer",14928814.0,08061
OENumber,OE Number,08061,848.0,NOOTEBOOM,22,9710023000,WABCO,356.0,"Brake Valve, trailer",14928814.0,04181
OENumber,OE Number,21668,120.0,VOLVO,101,02796,FEBI BILSTEIN,658.0,Wheel Nut,44583933.0,21668
OENumber,OE Number,36933,4103.0,SCHWARZMÜLLER,22,4494241900,WABCO,672.0,"Connecting Cable, ABS",14586886.0,21668
OENumber,OE Number,36933,4103.0,SCHWARZMÜLLER,22,4494241900,WABCO,672.0,"Connecting Cable, ABS",14586886.0,36933
OENumber,OE Number,26101,937.0,CATERPILLAR,33,TR24438,GATES,10.0,V-Belt,1337944451.0,26101
OENumber,OE Number,173044,21.0,CITROËN,4391,1607343880,EUROREPAR,3437.0,Rear Muffler,607702859.0,173044
OENumber,OE Number,173044,88.0,PEUGEOT,4391,1607343880,EUROREPAR,,,,173044
OENumber,OE Number,173044,804.0,CITROËN/PEUGEOT,4391,1607343880,EUROREPAR,,,,173044
OENumber,OE Number,173044,4468.0,DS,4391,1607343880,EUROREPAR,,,,173044
OENumber,OE Number,175262,101.0,SAURER,162,V30-3417,VAICO,4230.0,"Central Valve, camshaft adjustment",852574671.0,175262
OENumber,OE Number,174895,131.0,ASTRA,30,4 533 004 061,BOSCH,679.0,"Valve, power steering",1175020061.0,107291
OENumber,OE Number,174895,131.0,ASTRA,30,7 753 900 205,BOSCH,679.0,"Valve, power steering",236540306.0,107291
OENumber,OE Number,174895,131.0,ASTRA,30,4 533 004 061,BOSCH,679.0,"Valve, power steering",1175020061.0,174895
OENumber,OE Number,174895,131.0,ASTRA,30,7 753 900 205,BOSCH,679.0,"Valve, power steering",236540306.0,174895
OENumber,OE Number,173011,21.0,CITROËN,4391,1609206980,EUROREPAR,3437.0,Rear Muffler,607718694.0,173011
OENumber,OE Number,173011,88.0,PEUGEOT,4391,1609206980,EUROREPAR,,,,173011
