index,matchType,description,match,mfrId,mfrName,part_dataSupplierId,part_articleNumber,part_mfrName,genericArticleId,genericArticleDescription,legacyArticleId,OEM SKU,OEM DESC
0,OENumber,OE Number,A166 421 1600,74.0,MERCEDES-BENZ,6430,131322,Autostar Germany,82.0,Brake Disc,1354265433.0,A1664211600,Front Brake Disc Vented
1,OENumber,OE Number,A166 421 16 00,74.0,MERCEDES-BENZ,350,ADU1743122,BLUE PRINT,82.0,Brake Disc,550062538.0,A1664211600,Front Brake Disc Vented
2,OENumber,OE Number,A166 421 16 00,74.0,MERCEDES-BENZ,475,BBD6113S,BORG & BECK,82.0,Brake Disc,260127140.0,A1664211600,Front Brake Disc Vented
3,OENumber,OE Number,A1664211600,74.0,MERCEDES-BENZ,65,09.A960.21,BREMBO,82.0,Brake Disc,146316249.0,A1664211600,Front Brake Disc Vented
4,OENumber,OE Number,A1664211600,74.0,MERCEDES-BENZ,89,BG9185C,DELPHI,82.0,Brake Disc,285180973.0,A1664211600,Front Brake Disc Vented
5,OENumber,OE Number,A166 421 16 00,74.0,MERCEDES-BENZ,101,107711,FEBI BILSTEIN,82.0,Brake Disc,548218790.0,A1664211600,Front Brake Disc Vented
6,OENumber,OE Number,A1664211600,74.0,MERCEDES-BENZ,62,DDF2207C-1,FERODO,82.0,Brake Disc,1315574816.0,A1664211600,Front Brake Disc Vented
7,OENumber,OE Number,A1664211600,74.0,MERCEDES-BENZ,2,8DD 355 125-041,HELLA,82.0,Brake Disc,248801031.0,A1664211600,Front Brake Disc Vented
8,OENumber,OE Number,A1664211600,74.0,MERCEDES-BENZ,4625,8DD 355 125-041,HELLA PAGID,82.0,Brake Disc,251086238.0,A1664211600,Front Brake Disc Vented
9,OENumber,OE Number,A1664211600,74.0,MERCEDES-BENZ,4008,MBC036196,MANDO,82.0,Brake Disc,1379019672.0,A1664211600,Front Brake Disc Vented
10,OENumber,OE Number,A1664211600,74.0,MERCEDES-BENZ,73,MDC2731,MINTEX,82.0,Brake Disc,214656167.0,A1664211600,Front Brake Disc Vented
11,OENumber,OE Number,A1664211600,74.0,MERCEDES-BENZ,39,92279805,TEXTAR,82.0,Brake Disc,214436326.0,A1664211600,Front Brake Disc Vented
12,OENumber,OE Number,A166 421 1600,74.0,MERCEDES-BENZ,209,02.35.557,TRUCKTEC AUTOMOTIVE,82.0,Brake Disc,460635109.0,A1664211600,Front Brake Disc Vented
13,OENumber,OE Number,A 166 421 1600,74.0,MERCEDES-BENZ,86,400.3684.20,ZIMMERMANN,82.0,Brake Disc,38468758.0,A1664211600,Front Brake Disc Vented
0,OENumber,OE Number,28100-31041,111.0,TOYOTA,66,DSN1220,DENSO,2.0,Starter,30647051.0,28100-31041,Starter Assembly
1,OENumber,OE Number,28100-31041,111.0,TOYOTA,4819,116424,HC-Cargo,2.0,Starter,657718055.0,28100-31041,Starter Assembly
0,OENumber,OE Number,2220475020,111.0,TOYOTA,89,AF10133-12B1,DELPHI,3926.0,Mass Air Flow Sensor,1133766860.0,22204-75020,Meter Sub-Assembly Intake Air Flow
1,OENumber,OE Number,2220475020,842.0,LEXUS,89,AF10133-12B1,DELPHI,3926.0,Mass Air Flow Sensor,115187974.0,22204-75020,Meter Sub-Assembly Intake Air Flow
2,OENumber,OE Number,2220475020,111.0,TOYOTA,449,2505006,HITACHI,3926.0,Mass Air Flow Sensor,7668404.0,22204-75020,Meter Sub-Assembly Intake Air Flow
3,OENumber,OE Number,22204-75020,111.0,TOYOTA,5,7.22184.62.0,PIERBURG,,,,22204-75020,Meter Sub-Assembly Intake Air Flow
0,OENumber,OE Number,04427-42011,111.0,TOYOTA,350,ADT38196,BLUE PRINT,194.0,"Bellow Kit, drive shaft",101551845.0,04427-42011,Boot Kit Front Drive Shaft In & Outboard RH
1,OENumber,OE Number,04427-42011,842.0,LEXUS,350,ADT38196,BLUE PRINT,193.0,"Bellow, drive shaft",155536436.0,04427-42011,Boot Kit Front Drive Shaft In & Outboard RH
2,OENumber,OE Number,04427-42011,111.0,TOYOTA,4674,0115-MCV30,FEBEST,193.0,"Bellow, drive shaft",155536904.0,04427-42011,Boot Kit Front Drive Shaft In & Outboard RH
3,OENumber,OE Number,04427-42011,111.0,TOYOTA,4674,0117P-ACA30,FEBEST,,,,04427-42011,Boot Kit Front Drive Shaft In & Outboard RH
0,OENumber,OE Number,04906-36181,111.0,TOYOTA,161,SA5276,TRW,278.0,"Repair Kit, wheel brake cylinder",66958980.0,04906-36181,Cup Kit Rear Wheel Cylinder
0,OENumber,OE Number,26350-2M000,183.0,HYUNDAI,350,ADBP210121,BLUE PRINT,7.0,Oil Filter,1235309457.0,26350-2M000,Service Kit Oil Filter
1,OENumber,OE Number,26350-2M000,184.0,KIA,350,ADBP210121,BLUE PRINT,7.0,Oil Filter,1217934170.0,26350-2M000,Service Kit Oil Filter
2,OENumber,OE Number,26350-2M000,183.0,HYUNDAI,101,180329,FEBI BILSTEIN,7.0,Oil Filter,1226481664.0,26350-2M000,Service Kit Oil Filter
3,OENumber,OE Number,26350-2M000,184.0,KIA,101,180329,FEBI BILSTEIN,7.0,Oil Filter,862739455.0,26350-2M000,Service Kit Oil Filter
4,OENumber,OE Number,263502M000,183.0,HYUNDAI,287,OX 1121D,MAHLE,,,,26350-2M000,Service Kit Oil Filter
5,OENumber,OE Number,263502M000,184.0,KIA,287,OX 1121D,MAHLE,,,,26350-2M000,Service Kit Oil Filter
6,OENumber,OE Number,263502M000,183.0,HYUNDAI,4008,MMF040305,MANDO,,,,26350-2M000,Service Kit Oil Filter
7,OENumber,OE Number,263502M000,184.0,KIA,4008,MMF040305,MANDO,,,,26350-2M000,Service Kit Oil Filter
0,OENumber,OE Number,21200-5RF3A,80.0,NISSAN,33,TH41782G1,GATES,316.0,"Thermostat, coolant",17343568.0,21200-5RF3A,Thermostat Assembly *
1,OENumber,OE Number,21200-5RF3A,93.0,RENAULT,33,TH41782G1,GATES,,,,21200-5RF3A,Thermostat Assembly *
2,OENumber,OE Number,21200-5RF3A,139.0,DACIA,33,TH41782G1,GATES,,,,21200-5RF3A,Thermostat Assembly *
0,OENumber,OE Number,11 42 1 716 192,16.0,BMW,350,ADB112113,BLUE PRINT,7.0,Oil Filter,216513915.0,11421716192,Set Oil-Filter Element
1,OENumber,OE Number,11 42 1 716 192,16.0,BMW,475,BFO4064,BORG & BECK,7.0,Oil Filter,117435675.0,11421716192,Set Oil-Filter Element
2,OENumber,OE Number,11 42 1 716 192,16.0,BMW,30,1 457 429 108,BOSCH,7.0,Oil Filter,1912055.0,11421716192,Set Oil-Filter Element
3,OENumber,OE Number,11421716192,16.0,BMW,43,COF100517E,CHAMPION,7.0,Oil Filter,21311435.0,11421716192,Set Oil-Filter Element
4,OENumber,OE Number,11421716192,16.0,BMW,43,XE517/606,CHAMPION,7.0,Oil Filter,21528027.0,11421716192,Set Oil-Filter Element
5,OENumber,OE Number,11421716192,16.0,BMW,4434,28.0002-2071.2,CONTINENTAL,7.0,Oil Filter,479195209.0,11421716192,Set Oil-Filter Element
6,OENumber,OE Number,11421716192,16.0,BMW,4391,E149165,EUROREPAR,7.0,Oil Filter,364714637.0,11421716192,Set Oil-Filter Element
7,OENumber,OE Number,11 42 1 716 192,16.0,BMW,101,26684,FEBI BILSTEIN,7.0,Oil Filter,47587039.0,11421716192,Set Oil-Filter Element
8,OENumber,OE Number,11 42 1 716 192,16.0,BMW,256,OE 649/4,FILTRON,7.0,Oil Filter,84262409.0,11421716192,Set Oil-Filter Element
9,OENumber,OE Number,11 42 1 716 192,16.0,BMW,81,E104H D43,HENGST FILTER,7.0,Oil Filter,37853526.0,11421716192,Set Oil-Filter Element
