matchType,description,match,mfrId,mfrName,part_dataSupplierId,part_articleNumber,part_mfrName,genericArticleId,genericArticleDescription,legacyArticleId,linkageTargetTypes,OEM SKU
OENumber,OE Number,A 906 320 10 33,74,MERCEDES-BENZ,16,22-184245,BILSTEIN,854.0,Shock Absorber,10802890.0,"['V', 'O', 'A']",A9063201033
OENumber,OE Number,A 906 320 10 33,74,MERCEDES-BENZ,14,40-F36-A,BOGE,854.0,Shock Absorber,973114577.0,"['V', 'O', 'A']",A9063201033
OENumber,OE Number,A9063201033,74,MERCEDES-BENZ,4872,SA0635,BREMSI,854.0,Shock Absorber,1010671607.0,"['V', 'O', 'A']",A9063201033
OENumber,OE Number,A906 320 1033,74,MERCEDES-BENZ,355,4.68853,DT Spare Parts,854.0,Shock Absorber,385354398.0,"['V', 'O', 'A']",A9063201033
OENumber,OE Number,A9063201033,74,MERCEDES-BENZ,85,331702,KYB,854.0,Shock Absorber,38204910.0,"['V', 'O', 'A']",A9063201033
OENumber,OE Number,A9063201033,74,MERCEDES-BENZ,95,357148070000,MAGNETI MARELLI,854.0,Shock Absorber,548465404.0,"['V', 'O', 'A']",A9063201033
OENumber,OE Number,A9063201033,74,MERCEDES-BENZ,95,379000265000,MAGNETI MARELLI,854.0,Shock Absorber,472860411.0,"['V', 'O', 'A']",A9063201033
OENumber,OE Number,A9063201033,74,MERCEDES-BENZ,4008,MSS017343,MANDO,854.0,Shock Absorber,647363135.0,"['V', 'O', 'A']",A9063201033
OENumber,OE Number,A 906 320 10 33,74,MERCEDES-BENZ,144,026 623 0011,MEYLE,854.0,Shock Absorber,60334646.0,"['V', 'O', 'A']",A9063201033
OENumber,OE Number,A9063201033,74,MERCEDES-BENZ,198,82449FU,OCAP,854.0,Shock Absorber,899736646.0,"['V', 'O', 'A']",A9063201033
OENumber,OE Number,A 906 320 10 33,74,MERCEDES-BENZ,32,314 422,SACHS,854.0,Shock Absorber,16755114.0,"['V', 'O', 'A']",A9063201033
OENumber,OE Number,A 906 320 10 33,74,MERCEDES-BENZ,32,319 684,SACHS,854.0,Shock Absorber,951703479.0,"['V', 'O', 'A']",A9063201033
OENumber,OE Number,A906 320 1033,74,MERCEDES-BENZ,209,02.30.096,TRUCKTEC AUTOMOTIVE,854.0,Shock Absorber,76409997.0,"['V', 'O', 'A']",A9063201033
OENumber,OE Number,254111R400,183,HYUNDAI,4008,MCC020094,MANDO,475.0,Radiator Hose,626583538.0,"['V', 'O', 'M']",25411-1R400
OENumber,OE Number,5Q0598611,5,AUDI,4391,1623952480,EUROREPAR,654.0,Wheel Bearing Kit,407524825.0,"['V', 'O', 'A']",4H0959126C
OENumber,OE Number,5Q0598611,106,SKODA,4391,1623952480,EUROREPAR,654.0,Wheel Bearing Kit,1034785198.0,"['V', 'O', 'A']",4H0959126C
OENumber,OE Number,5Q0598611,121,VW,4391,1623952480,EUROREPAR,653.0,Wheel Hub,155560489.0,"['V', 'O', 'A']",4H0959126C
OENumber,OE Number,5Q0598611,5,AUDI,4391,1681937780,EUROREPAR,654.0,Wheel Bearing Kit,43572314.0,"['V', 'O', 'A']",4H0959126C
OENumber,OE Number,5Q0598611,106,SKODA,4391,1681937780,EUROREPAR,654.0,Wheel Bearing Kit,56076955.0,"['V', 'O', 'A']",4H0959126C
OENumber,OE Number,5Q0598611,121,VW,4391,1681937780,EUROREPAR,653.0,Wheel Hub,60755469.0,"['V', 'O', 'A']",4H0959126C
OENumber,OE Number,5Q0598611,253,VAG,4674,2382-GVMR,FEBEST,9310.0,"Repair Set, ABS sensor",564600906.0,"['V', 'O', 'A']",4H0959126C
OENumber,OE Number,5Q0598611,104,SEAT,95,361111183224,MAGNETI MARELLI,9310.0,"Repair Set, ABS sensor",564600907.0,"['V', 'O', 'A']",4H0959126C
OENumber,OE Number,5Q0598611,5,AUDI,133,26765,MAPCO,654.0,Wheel Bearing Kit,57239579.0,"['V', 'O', 'A']",4H0959126C
OENumber,OE Number,5Q0598611,104,SEAT,133,26765,MAPCO,654.0,Wheel Bearing Kit,72507741.0,"['V', 'O', 'A']",4H0959126C
OENumber,OE Number,5Q0 598 611,5,AUDI,144,100 750 0001,MEYLE,654.0,Wheel Bearing Kit,1014189833.0,"['V', 'O', 'A']",4H0959126C
OENumber,OE Number,5Q0 598 611,104,SEAT,144,100 750 0001,MEYLE,654.0,Wheel Bearing Kit,50833479.0,"['V', 'O', 'A']",4H0959126C
OENumber,OE Number,5Q0 598 611,106,SKODA,144,100 750 0001,MEYLE,654.0,Wheel Bearing Kit,358109650.0,"['V', 'O', 'A']",4H0959126C
OENumber,OE Number,5Q0 598 611,121,VW,144,100 750 0001,MEYLE,,,,,4H0959126C
OENumber,OE Number,5Q0 598 611,4896,CUPRA,144,100 750 0001,MEYLE,,,,,4H0959126C
OENumber,OE Number,5Q0 598 611,5,AUDI,144,114 899 0013,MEYLE,,,,,4H0959126C
OENumber,OE Number,5Q0 598 611,104,SEAT,144,114 899 0013,MEYLE,,,,,4H0959126C
OENumber,OE Number,5Q0 598 611,121,VW,144,114 899 0013,MEYLE,,,,,4H0959126C
OENumber,OE Number,5Q0 598 611,5,AUDI,144,114 899 0014,MEYLE,,,,,4H0959126C
OENumber,OE Number,5Q0 598 611,104,SEAT,144,114 899 0014,MEYLE,,,,,4H0959126C
OENumber,OE Number,5Q0 598 611,121,VW,144,114 899 0014,MEYLE,,,,,4H0959126C
OENumber,OE Number,5Q0598611,5,AUDI,134,VO-WB-11070,MOOG,,,,,4H0959126C
OENumber,OE Number,5Q0598611,106,SKODA,134,VO-WB-11070,MOOG,,,,,4H0959126C
OENumber,OE Number,5Q0598611,121,VW,134,VO-WB-11070,MOOG,,,,,4H0959126C
OENumber,OE Number,5Q0 598 611,5,AUDI,192,713 6109 60,Schaeffler FAG,,,,,4H0959126C
OENumber,OE Number,5Q0598611,5,AUDI,192,713 6109 60,Schaeffler FAG,,,,,4H0959126C
OENumber,OE Number,5Q0 598 611,104,SEAT,192,713 6109 60,Schaeffler FAG,,,,,4H0959126C
OENumber,OE Number,5Q0598611,104,SEAT,192,713 6109 60,Schaeffler FAG,,,,,4H0959126C
OENumber,OE Number,5Q0 598 611,106,SKODA,192,713 6109 60,Schaeffler FAG,,,,,4H0959126C
OENumber,OE Number,5Q0598611,106,SKODA,192,713 6109 60,Schaeffler FAG,,,,,4H0959126C
OENumber,OE Number,5Q0 598 611,121,VW,192,713 6109 60,Schaeffler FAG,,,,,4H0959126C
OENumber,OE Number,5Q0598611,121,VW,192,713 6109 60,Schaeffler FAG,,,,,4H0959126C
OENumber,OE Number,5Q0 598 611,5,AUDI,301,110 532,TOPRAN,,,,,4H0959126C
OENumber,OE Number,5Q0 598 611,104,SEAT,301,110 532,TOPRAN,,,,,4H0959126C
OENumber,OE Number,5Q0 598 611,106,SKODA,301,110 532,TOPRAN,,,,,4H0959126C
OENumber,OE Number,5Q0 598 611,121,VW,301,110 532,TOPRAN,,,,,4H0959126C
OENumber,OE Number,5Q0 598 611,5,AUDI,108,8530 29229,TRISCAN,,,,,4H0959126C
OENumber,OE Number,5Q0598611,5,AUDI,162,V10-8343,VAICO,,,,,4H0959126C
OENumber,OE Number,5Q0 598 611,121,VW,162,V10-8343,VAICO,,,,,4H0959126C
OENumber,OE Number,5Q0598611,121,VW,162,V10-8343,VAICO,,,,,4H0959126C
OENumber,OE Number,5Q0598611,5,AUDI,4391,1623952480,EUROREPAR,654.0,Wheel Bearing Kit,407524825.0,"['V', 'O', 'A']",24117566354
OENumber,OE Number,5Q0598611,106,SKODA,4391,1623952480,EUROREPAR,654.0,Wheel Bearing Kit,1034785198.0,"['V', 'O', 'A']",24117566354
OENumber,OE Number,5Q0598611,121,VW,4391,1623952480,EUROREPAR,653.0,Wheel Hub,155560489.0,"['V', 'O', 'A']",24117566354
OENumber,OE Number,5Q0598611,5,AUDI,4391,1681937780,EUROREPAR,654.0,Wheel Bearing Kit,43572314.0,"['V', 'O', 'A']",24117566354
OENumber,OE Number,5Q0598611,106,SKODA,4391,1681937780,EUROREPAR,654.0,Wheel Bearing Kit,56076955.0,"['V', 'O', 'A']",24117566354
OENumber,OE Number,5Q0598611,121,VW,4391,1681937780,EUROREPAR,653.0,Wheel Hub,60755469.0,"['V', 'O', 'A']",24117566354
OENumber,OE Number,5Q0598611,253,VAG,4674,2382-GVMR,FEBEST,9310.0,"Repair Set, ABS sensor",564600906.0,"['V', 'O', 'A']",24117566354
OENumber,OE Number,5Q0598611,104,SEAT,95,361111183224,MAGNETI MARELLI,9310.0,"Repair Set, ABS sensor",564600907.0,"['V', 'O', 'A']",24117566354
OENumber,OE Number,5Q0598611,5,AUDI,133,26765,MAPCO,654.0,Wheel Bearing Kit,57239579.0,"['V', 'O', 'A']",24117566354
OENumber,OE Number,5Q0598611,104,SEAT,133,26765,MAPCO,654.0,Wheel Bearing Kit,72507741.0,"['V', 'O', 'A']",24117566354
OENumber,OE Number,5Q0 598 611,5,AUDI,144,100 750 0001,MEYLE,654.0,Wheel Bearing Kit,1014189833.0,"['V', 'O', 'A']",24117566354
OENumber,OE Number,5Q0 598 611,104,SEAT,144,100 750 0001,MEYLE,654.0,Wheel Bearing Kit,50833479.0,"['V', 'O', 'A']",24117566354
OENumber,OE Number,5Q0 598 611,106,SKODA,144,100 750 0001,MEYLE,654.0,Wheel Bearing Kit,358109650.0,"['V', 'O', 'A']",24117566354
OENumber,OE Number,5Q0 598 611,121,VW,144,100 750 0001,MEYLE,,,,,24117566354
