matchType,description,match,mfrId,mfrName,part_dataSupplierId,part_articleNumber,part_mfrName,genericArticleId,genericArticleDescription,legacyArticleId,OEM SKU
OENumber,OE Number,551A0JK000,80,NISSAN,89,TC6732,DELPHI,273.0,"Control/Trailing Arm, wheel suspension",1246602609.0,PZ-80D26R-HI-BH
OENumber,OE Number,551A0JK000,1526,INFINITI,89,TC6732,DELPHI,251.0,"Mounting, control/trailing arm",155572544.0,PZ-80D26R-HI-BH
OENumber,OE Number,551A0-JK000,80,NISSAN,4674,NAB-343,FEBEST,,,,PZ-80D26R-HI-BH
OENumber,OE Number,260606FP1A,80,NISSAN,61,20-16130-06-2,TYC,259.0,Headlight,484638598.0,8C3Z-7A098-D
OENumber,OE Number,26060-6FP1A,80,NISSAN,61,20-16130-06-2,TYC,,,,8C3Z-7A098-D
OENumber,OE Number,260606FP1A,80,NISSAN,61,20-16130-06-2,TYC,259.0,Headlight,484638598.0,26060-6FP1A
OENumber,OE Number,26060-6FP1A,80,NISSAN,61,20-16130-06-2,TYC,,,,26060-6FP1A
OENumber,OE Number,260606FP1A,80,NISSAN,61,20-16130-06-2,TYC,259.0,Headlight,484638598.0,10321916
OENumber,OE Number,26060-6FP1A,80,NISSAN,61,20-16130-06-2,TYC,,,,10321916
