matchType,description,match,mfrId,mfrName,part_dataSupplierId,part_articleNumber,part_mfrName,genericArticleId,genericArticleDescription,legacyArticleId,OEM SKU
OENumber,OE Number,11720-JG30B,80.0,NISSAN,350,AD06R1805,BLUE PRINT,305.0,V-Ribbed Belt,101235955.0,11720-JG30B
OENumber,OE Number,11720JG30B,93.0,RENAULT,31,6PK1805,CONTINENTAL CTAM,305.0,V-Ribbed Belt,16372206.0,11720-JG30B
OENumber,OE Number,11720JG30B,80.0,NISSAN,4391,1609323280,EUROREPAR,305.0,V-Ribbed Belt,396503488.0,11720-JG30B
OENumber,OE Number,11720-JG30B,80.0,NISSAN,33,6PK1808XS,GATES,305.0,V-Ribbed Belt,435325509.0,11720-JG30B
OENumber,OE Number,11720-JG30B,93.0,RENAULT,33,6PK1808XS,GATES,305.0,V-Ribbed Belt,207852292.0,11720-JG30B
OENumber,OE Number,11720-JG30B,80.0,NISSAN,204,FB 6PK1803,INA,305.0,V-Ribbed Belt,1212408338.0,11720-JG30B
OENumber,OE Number,11720JG30B,80.0,NISSAN,204,FB 6PK1803,INA,305.0,V-Ribbed Belt,345134956.0,11720-JG30B
OENumber,OE Number,11 72 0JG 30B,93.0,RENAULT,204,FB 6PK1803,INA,305.0,V-Ribbed Belt,345135198.0,11720-JG30B
OENumber,OE Number,11720JG30B,93.0,RENAULT,204,FB 6PK1803,INA,305.0,V-Ribbed Belt,345135346.0,11720-JG30B
OENumber,OE Number,11 72 0JG 30B,139.0,DACIA,204,FB 6PK1803,INA,542.0,V-Ribbed Belt Set,23585374.0,11720-JG30B
OENumber,OE Number,11720JG30B,139.0,DACIA,204,FB 6PK1803,INA,305.0,V-Ribbed Belt,23647043.0,11720-JG30B
OENumber,OE Number,11720JG30B,80.0,NISSAN,95,341200005663,MAGNETI MARELLI,,,,11720-JG30B
OENumber,OE Number,11720JG30B,80.0,NISSAN,4994,6PK1795,MITSUBOSHI,,,,11720-JG30B
OENumber,OE Number,11720JG30B,93.0,RENAULT,4994,6PK1795,MITSUBOSHI,,,,11720-JG30B
OENumber,OE Number,11720JG30B,80.0,NISSAN,4994,6PK1805,MITSUBOSHI,,,,11720-JG30B
OENumber,OE Number,11720JG30B,93.0,RENAULT,4994,6PK1805,MITSUBOSHI,,,,11720-JG30B
OENumber,OE Number,11720JG30B,80.0,NISSAN,4994,6PK1820,MITSUBOSHI,,,,11720-JG30B
OENumber,OE Number,11720JG30B,93.0,RENAULT,4994,6PK1820,MITSUBOSHI,,,,11720-JG30B
OENumber,OE Number,11720-JG30B,80.0,NISSAN,50,VKMA 35006,SKF,,,,11720-JG30B
OENumber,OE Number,11 72 0JG 30B,93.0,RENAULT,50,VKMA 35006,SKF,,,,11720-JG30B
OENumber,OE Number,11720-JG30B,80.0,NISSAN,50,VKMV 6PK1805,SKF,,,,11720-JG30B
OENumber,OE Number,11 72 0JG 30B,93.0,RENAULT,50,VKMV 6PK1805,SKF,,,,11720-JG30B
OENumber,OE Number,9091302117,111.0,TOYOTA,140,19025696,CORTECO,322.0,"Seal Ring, valve stem",59188083.0,90520-T0033
OENumber,OE Number,9091302117,111.0,TOYOTA,140,19036074,CORTECO,323.0,"Seal Set, valve stem",59247455.0,90520-T0033
OENumber,OE Number,9091302117,111.0,TOYOTA,140,19036079,CORTECO,323.0,"Seal Set, valve stem",59247694.0,90520-T0033
OENumber,OE Number,9091302117,111.0,TOYOTA,140,49472833,CORTECO,322.0,"Seal Ring, valve stem",1024179726.0,90520-T0033
OENumber,OE Number,90913-02117,111.0,TOYOTA,9,70-52928-10,VICTOR REINZ,322.0,"Seal Ring, valve stem",8375759.0,90520-T0033
OENumber,OE Number,9091302117,111.0,TOYOTA,140,19025696,CORTECO,322.0,"Seal Ring, valve stem",59188083.0,90311-T0040
OENumber,OE Number,9091302117,111.0,TOYOTA,140,19036074,CORTECO,323.0,"Seal Set, valve stem",59247455.0,90311-T0040
OENumber,OE Number,9091302117,111.0,TOYOTA,140,19036079,CORTECO,323.0,"Seal Set, valve stem",59247694.0,90311-T0040
OENumber,OE Number,9091302117,111.0,TOYOTA,140,49472833,CORTECO,322.0,"Seal Ring, valve stem",1024179726.0,90311-T0040
OENumber,OE Number,90913-02117,111.0,TOYOTA,9,70-52928-10,VICTOR REINZ,322.0,"Seal Ring, valve stem",8375759.0,90311-T0040
OENumber,OE Number,90919-11009,111.0,TOYOTA,4674,TCP-001,FEBEST,698.0,"Plug, coil",155581903.0,90311-T0040
OENumber,OE Number,90919-11009,111.0,TOYOTA,4674,TCP-001,FEBEST,698.0,"Plug, coil",155581903.0,16325-36051
OENumber,OE Number,90919-11009,111.0,TOYOTA,4674,TCP-001,FEBEST,698.0,"Plug, coil",155581903.0,90919-11009
OENumber,OE Number,90919-11009,111.0,TOYOTA,4674,TCP-001,FEBEST,698.0,"Plug, coil",155581903.0,81145-42E10
OENumber,OE Number,90919-11009,111.0,TOYOTA,4674,TCP-001,FEBEST,698.0,"Plug, coil",155581903.0,97410-A9200WK
OENumber,OE Number,90520-43007,111.0,TOYOTA,166,MTPT-00549,AISIN,4092.0,"Ring Gear, manual transmission",401807391.0,90520-43007
OENumber,OE Number,90365-25019,111.0,TOYOTA,166,MTPT-00239,AISIN,4099.0,"Bearing, manual transmission",401805581.0,90365-25019
OENumber,OE Number,92600ZP80B,80.0,NISSAN,123,890910,NISSENS,447.0,"Compressor, air conditioning",1120031945.0,92600-ZP80B
OENumber,OE Number,9091602598,111.0,TOYOTA,454,7PK1930,BANDO,305.0,V-Ribbed Belt,115211196.0,90916-02598
OENumber,OE Number,90916-02598,111.0,TOYOTA,350,AD07R1930,BLUE PRINT,305.0,V-Ribbed Belt,101238341.0,90916-02598
OENumber,OE Number,90916 02598,111.0,TOYOTA,30,1 987 948 320,BOSCH,305.0,V-Ribbed Belt,2581019.0,90916-02598
OENumber,OE Number,9091602598,111.0,TOYOTA,31,7PK1933,CONTINENTAL CTAM,305.0,V-Ribbed Belt,16384133.0,90916-02598
OENumber,OE Number,90916-02598,111.0,TOYOTA,33,7PK1933,GATES,305.0,V-Ribbed Belt,17152741.0,90916-02598
OENumber,OE Number,90916-02598,111.0,TOYOTA,204,529 0373 10,INA,542.0,V-Ribbed Belt Set,510044597.0,90916-02598
OENumber,OE Number,9091602598,111.0,TOYOTA,204,529 0373 10,INA,305.0,V-Ribbed Belt,207858884.0,90916-02598
OENumber,OE Number,90916-02598,842.0,LEXUS,204,529 0373 10,INA,305.0,V-Ribbed Belt,1212424845.0,90916-02598
OENumber,OE Number,9091602598,842.0,LEXUS,204,529 0373 10,INA,305.0,V-Ribbed Belt,626578042.0,90916-02598
OENumber,OE Number,90916-02598,111.0,TOYOTA,204,FB 7PK1933,INA,305.0,V-Ribbed Belt,60580549.0,90916-02598
OENumber,OE Number,9091602598,111.0,TOYOTA,204,FB 7PK1933,INA,305.0,V-Ribbed Belt,345142194.0,90916-02598
OENumber,OE Number,90916-02598,842.0,LEXUS,204,FB 7PK1933,INA,542.0,V-Ribbed Belt Set,308403754.0,90916-02598
OENumber,OE Number,9091602598,842.0,LEXUS,204,FB 7PK1933,INA,305.0,V-Ribbed Belt,23656216.0,90916-02598
OENumber,OE Number,9091602598,111.0,TOYOTA,95,341200005866,MAGNETI MARELLI,,,,90916-02598
OENumber,OE Number,9091602598,111.0,TOYOTA,4008,MB7PK1935,MANDO,,,,90916-02598
OENumber,OE Number,90916-02598,111.0,TOYOTA,144,050 007 1930,MEYLE,,,,90916-02598
OENumber,OE Number,9091602598,111.0,TOYOTA,4994,7PK1930,MITSUBOSHI,,,,90916-02598
OENumber,OE Number,90916-02598,111.0,TOYOTA,50,VKMA 61022,SKF,,,,90916-02598
OENumber,OE Number,90916-02598,111.0,TOYOTA,50,VKMV 7PK1930,SKF,,,,90916-02598
OENumber,OE Number,SU00302116,107.0,SUBARU,123,940366,NISSENS,448.0,"Condenser, air conditioning",53528103.0,SU003-02116
OENumber,OE Number,SU00302116,111.0,TOYOTA,123,940366,NISSENS,,,,SU003-02116
OENumber,OE Number,90520-43006,111.0,TOYOTA,166,MTPT-00548,AISIN,4092.0,"Ring Gear, manual transmission",401807388.0,90520-43006
OENumber,OE Number,90919 02083,111.0,TOYOTA,30,0 221 119 030,BOSCH,689.0,Ignition Coil,267439.0,90919-02083
OENumber,OE Number,90919-02083,111.0,TOYOTA,21,245058,VALEO,689.0,Ignition Coil,12647134.0,90919-02083
OENumber,OE Number,9091902083,111.0,TOYOTA,21,245058,VALEO,,,,90919-02083
OENumber,OE Number,92600-JF02A,80.0,NISSAN,21,716691,VALEO,447.0,"Compressor, air conditioning",159902720.0,92600-JF02A
OENumber,OE Number,92600JF02A,80.0,NISSAN,21,716691,VALEO,447.0,"Compressor, air conditioning",159902721.0,92600-JF02A
OENumber,OE Number,92600-JF02A,80.0,NISSAN,21,716692,VALEO,447.0,"Compressor, air conditioning",159902722.0,92600-JF02A
OENumber,OE Number,92600JF02A,80.0,NISSAN,21,716692,VALEO,,,,92600-JF02A
OENumber,OE Number,92600-JF02A,80.0,NISSAN,21,716693,VALEO,,,,92600-JF02A
OENumber,OE Number,92600JF02A,80.0,NISSAN,21,716693,VALEO,,,,92600-JF02A
OENumber,OE Number,92600-JF02A,80.0,NISSAN,21,716691,VALEO,447.0,"Compressor, air conditioning",159902720.0,92122-60818
OENumber,OE Number,92600JF02A,80.0,NISSAN,21,716691,VALEO,447.0,"Compressor, air conditioning",159902721.0,92122-60818
OENumber,OE Number,92600-JF02A,80.0,NISSAN,21,716692,VALEO,447.0,"Compressor, air conditioning",159902722.0,92122-60818
OENumber,OE Number,92600JF02A,80.0,NISSAN,21,716692,VALEO,,,,92122-60818
OENumber,OE Number,92600-JF02A,80.0,NISSAN,21,716693,VALEO,,,,92122-60818
OENumber,OE Number,92600JF02A,80.0,NISSAN,21,716693,VALEO,,,,92122-60818
OENumber,OE Number,89467-0C070,111.0,TOYOTA,66,DOX-0595,DENSO,3922.0,Lambda Sensor,650411973.0,89467-0C070
OENumber,OE Number,89467-0C070,111.0,TOYOTA,4501,LEB5588,LUCAS,3922.0,Lambda Sensor,1306088498.0,89467-0C070
OENumber,OE Number,17127578403,16.0,BMW,181,707129,GK,475.0,Radiator Hose,1300132042.0,17127578403
OENumber,OE Number,17 12 7 578 403,16.0,BMW,162,V20-2355,VAICO,475.0,Radiator Hose,148336720.0,17127578403
OENumber,OE Number,17127578403,16.0,BMW,181,707129,GK,475.0,Radiator Hose,1300132042.0,GDB1934
OENumber,OE Number,17 12 7 578 403,16.0,BMW,162,V20-2355,VAICO,475.0,Radiator Hose,148336720.0,GDB1934
OENumber,OE Number,90311-A0015,111.0,TOYOTA,350,ADBP610128,BLUE PRINT,572.0,"Shaft Seal, crankshaft",1244193864.0,90311-A0015
OENumber,OE Number,90311A0015,111.0,TOYOTA,140,12018755B,CORTECO,572.0,"Shaft Seal, crankshaft",59139367.0,90311-A0015
OENumber,OE Number,90311A0015,842.0,LEXUS,140,12018755B,CORTECO,572.0,"Shaft Seal, crankshaft",626951231.0,90311-A0015
OENumber,OE Number,90311-A0015,111.0,TOYOTA,10,941.480,ELRING,2048.0,Seal Ring,626951232.0,90311-A0015
OENumber,OE Number,90311-A0015,111.0,TOYOTA,101,180346,FEBI BILSTEIN,572.0,"Shaft Seal, crankshaft",1243917286.0,90311-A0015
OENumber,OE Number,90311-A0015,111.0,TOYOTA,9,81-10416-00,VICTOR REINZ,572.0,"Shaft Seal, crankshaft",8554299.0,90311-A0015
OENumber,OE Number,89465-30730,111.0,TOYOTA,30,0 258 986 602,BOSCH,3922.0,Lambda Sensor,405949.0,89465-30730
OENumber,OE Number,89465 30730,842.0,LEXUS,30,0 258 986 602,BOSCH,3922.0,Lambda Sensor,39548510.0,89465-30730
OENumber,OE Number,89465-30730,111.0,TOYOTA,89,ES20059,DELPHI,3922.0,Lambda Sensor,30566700.0,89465-30730
OENumber,OE Number,8946530730,842.0,LEXUS,89,ES20059,DELPHI,3922.0,Lambda Sensor,454996383.0,89465-30730
OENumber,OE Number,89465-30730,111.0,TOYOTA,66,DOX-0109,DENSO,3922.0,Lambda Sensor,493020941.0,89465-30730
OENumber,OE Number,89465-30730,111.0,TOYOTA,4391,E144007,EUROREPAR,,,,89465-30730
OENumber,OE Number,8946530730,842.0,LEXUS,4391,E144007,EUROREPAR,,,,89465-30730
OENumber,OE Number,89465-30730,111.0,TOYOTA,4501,LEB5173,LUCAS,,,,89465-30730
OENumber,OE Number,90916-03125,111.0,TOYOTA,350,ADC49205,BLUE PRINT,316.0,"Thermostat, coolant",101286107.0,90916-03125
OENumber,OE Number,90916-03125,842.0,LEXUS,350,ADC49205,BLUE PRINT,316.0,"Thermostat, coolant",101563324.0,90916-03125
OENumber,OE Number,90916-03125,111.0,TOYOTA,350,ADT39213,BLUE PRINT,316.0,"Thermostat, coolant",117184530.0,90916-03125
OENumber,OE Number,90916-03125,842.0,LEXUS,350,ADT39213,BLUE PRINT,316.0,"Thermostat, coolant",117185401.0,90916-03125
OENumber,OE Number,90916-03125,111.0,TOYOTA,475,BBT349,BORG & BECK,316.0,"Thermostat, coolant",37471529.0,90916-03125
OENumber,OE Number,9091603125,842.0,LEXUS,475,BBT349,BORG & BECK,316.0,"Thermostat, coolant",146348374.0,90916-03125
OENumber,OE Number,90916-03125,111.0,TOYOTA,475,BBT382,BORG & BECK,316.0,"Thermostat, coolant",1279297849.0,90916-03125
OENumber,OE Number,9091603125,842.0,LEXUS,475,BBT382,BORG & BECK,316.0,"Thermostat, coolant",17339371.0,90916-03125
OENumber,OE Number,90916-03125,111.0,TOYOTA,79,4480.82D,BorgWarner (Wahler),316.0,"Thermostat, coolant",1276906169.0,90916-03125
OENumber,OE Number,9091603125,111.0,TOYOTA,66,DTM82281,DENSO,316.0,"Thermostat, coolant",1159828702.0,90916-03125
OENumber,OE Number,9091603125,842.0,LEXUS,66,DTM82281,DENSO,316.0,"Thermostat, coolant",273663691.0,90916-03125
OENumber,OE Number,90916-03125,111.0,TOYOTA,101,107698,FEBI BILSTEIN,316.0,"Thermostat, coolant",147036167.0,90916-03125
OENumber,OE Number,90916-03125,842.0,LEXUS,101,107698,FEBI BILSTEIN,316.0,"Thermostat, coolant",602820993.0,90916-03125
OENumber,OE Number,90916-03125,111.0,TOYOTA,33,TH31282G1,GATES,316.0,"Thermostat, coolant",147036461.0,90916-03125
OENumber,OE Number,90916-03125,183.0,HYUNDAI,33,TH31282G1,GATES,316.0,"Thermostat, coolant",92991590.0,90916-03125
OENumber,OE Number,90916-03125,184.0,KIA,33,TH31282G1,GATES,316.0,"Thermostat, coolant",56108553.0,90916-03125
OENumber,OE Number,90916-03125,842.0,LEXUS,33,TH31282G1,GATES,316.0,"Thermostat, coolant",60339711.0,90916-03125
OENumber,OE Number,9091603125,111.0,TOYOTA,181,701204,GK,,,,90916-03125
OENumber,OE Number,90916-03125,111.0,TOYOTA,4726,ZB56TB-82,HKT,,,,90916-03125
OENumber,OE Number,9091603125,111.0,TOYOTA,95,352028182000,MAGNETI MARELLI,,,,90916-03125
OENumber,OE Number,90916-03125,111.0,TOYOTA,95,352028182000,MAGNETI MARELLI,,,,90916-03125
OENumber,OE Number,90916-03125,111.0,TOYOTA,95,352317000810,MAGNETI MARELLI,,,,90916-03125
OENumber,OE Number,90916-03125,80.0,NISSAN,95,352317100810,MAGNETI MARELLI,,,,90916-03125
OENumber,OE Number,90916-03125,80.0,NISSAN,95,359001201730,MAGNETI MARELLI,,,,90916-03125
OENumber,OE Number,90916-03125,111.0,TOYOTA,287,TX 70 82,MAHLE,,,,90916-03125
OENumber,OE Number,9091603125,842.0,LEXUS,287,TX 70 82,MAHLE,,,,90916-03125
OENumber,OE Number,90916-03125,111.0,TOYOTA,133,28550,MAPCO,,,,90916-03125
OENumber,OE Number,9091603125,842.0,LEXUS,133,28550,MAPCO,,,,90916-03125
OENumber,OE Number,90916-03125,111.0,TOYOTA,144,028 282 0004,MEYLE,,,,90916-03125
OENumber,OE Number,90916-03125,842.0,LEXUS,144,028 282 0004,MEYLE,,,,90916-03125
OENumber,OE Number,90520-43003,111.0,TOYOTA,166,MTPT-00545,AISIN,4092.0,"Ring Gear, manual transmission",401807379.0,90520-43003
OENumber,OE Number,9730.AG,21.0,CITROËN,101,21829,FEBI BILSTEIN,1667.0,Transmission Oil,411845474.0,9730 AG
OENumber,OE Number,9730.AG,88.0,PEUGEOT,101,21829,FEBI BILSTEIN,3069.0,Automatic Transmission Fluid,411845475.0,9730 AG
,,,,,,,,3225.0,Manual Transmission Oil,47168633.0,9730 AG
,,,,,,,,3226.0,Axle Gear Oil,411845476.0,9730 AG
,,,,,,,,5685.0,"Oil, all-wheel-drive coupling",1290662656.0,9730 AG
,,,,,,,,8561.0,"Oil, dual-clutch transmission (DSG)",411845477.0,9730 AG
,,,,,,,,8563.0,"Oil, hybrid transmission (DHT)",1354650485.0,9730 AG
OENumber,OE Number,88410-22480,111.0,TOYOTA,4553,1201922,CTR,447.0,"Compressor, air conditioning",282268051.0,53420-0D630-BP
OENumber,OE Number,88410-22480,111.0,TOYOTA,66,DCP50071,DENSO,447.0,"Compressor, air conditioning",30506324.0,53420-0D630-BP
OENumber,OE Number,88410-22480,111.0,TOYOTA,4553,1201922,CTR,447.0,"Compressor, air conditioning",282268051.0,88410-22480
OENumber,OE Number,88410-22480,111.0,TOYOTA,66,DCP50071,DENSO,447.0,"Compressor, air conditioning",30506324.0,88410-22480
OENumber,OE Number,90919-05036,111.0,TOYOTA,47,60032,BREMI,3946.0,"Sensor, camshaft position",410399267.0,90919-05036
OENumber,OE Number,90919-05036,842.0,LEXUS,47,60032,BREMI,3946.0,"Sensor, camshaft position",347260908.0,90919-05036
OENumber,OE Number,90919-05036,111.0,TOYOTA,89,SS11154,DELPHI,3946.0,"Sensor, camshaft position",1377262541.0,90919-05036
OENumber,OE Number,9091905036,842.0,LEXUS,89,SS11154,DELPHI,3946.0,"Sensor, camshaft position",1377291688.0,90919-05036
OENumber,OE Number,9091905036,111.0,TOYOTA,449,131800,HITACHI,3946.0,"Sensor, camshaft position",376894968.0,90919-05036
OENumber,OE Number,9091905036,842.0,LEXUS,449,131800,HITACHI,,,,90919-05036
OENumber,OE Number,9091905036,111.0,TOYOTA,449,2501800,HITACHI,,,,90919-05036
OENumber,OE Number,9091905036,842.0,LEXUS,449,2501800,HITACHI,,,,90919-05036
OENumber,OE Number,90919-05036,111.0,TOYOTA,4501,SEB1836,LUCAS,,,,90919-05036
