index,matchType,description,match,mfrId,mfrName,part_dataSupplierId,part_articleNumber,part_mfrName,genericArticleId,genericArticleDescription,legacyArticleId,OEM SKU
0,OENumber,OE Number,41060-8H785,80.0,NISSAN,166,BPNI-1023,AISIN,402.0,"Brake Pad Set, disc brake",689286375.0,41060-8H785
1,OENumber,OE Number,41060-8H785,80.0,NISSAN,350,ADN142115,BLUE PRINT,402.0,"Brake Pad Set, disc brake",101453746.0,41060-8H785
2,OENumber,OE Number,410608H785,80.0,NISSAN,475,BBP1820,BORG & BECK,402.0,"Brake Pad Set, disc brake",117123031.0,41060-8H785
3,OENumber,OE Number,41060 8H785,80.0,NISSAN,30,F 03B 150 044,BOSCH,402.0,"Brake Pad Set, disc brake",3523818.0,41060-8H785
4,OENumber,OE Number,410608H785,80.0,NISSAN,65,P 56 040,BREMBO,402.0,"Brake Pad Set, disc brake",30353501.0,41060-8H785
5,OENumber,OE Number,410608H785,80.0,NISSAN,65,P56040N,BREMBO,402.0,"Brake Pad Set, disc brake",411024475.0,41060-8H785
6,OENumber,OE Number,410608H785,80.0,NISSAN,43,572466CH,CHAMPION,402.0,"Brake Pad Set, disc brake",321987404.0,41060-8H785
7,OENumber,OE Number,410608H785,1526.0,INFINITI,4401,GK0724,CTR,402.0,"Brake Pad Set, disc brake",1127384759.0,41060-8H785
8,OENumber,OE Number,410608H785,1526.0,INFINITI,4401,GK0840,CTR,402.0,"Brake Pad Set, disc brake",1127384801.0,41060-8H785
9,OENumber,OE Number,41060-8H785,80.0,NISSAN,89,LP1659,DELPHI,402.0,"Brake Pad Set, disc brake",39711324.0,41060-8H785
10,OENumber,OE Number,410608H785,80.0,NISSAN,6368,DP1247,EBC Brakes,402.0,"Brake Pad Set, disc brake",545018184.0,41060-8H785
11,OENumber,OE Number,410608H785,80.0,NISSAN,6368,DP41247R,EBC Brakes,402.0,"Brake Pad Set, disc brake",545190889.0,41060-8H785
12,OENumber,OE Number,410608H785,80.0,NISSAN,6368,DP61247,EBC Brakes,402.0,"Brake Pad Set, disc brake",545261070.0,41060-8H785
13,OENumber,OE Number,410608H785,80.0,NISSAN,4391,1623059280,EUROREPAR,402.0,"Brake Pad Set, disc brake",364596528.0,41060-8H785
14,OENumber,OE Number,41060-8H785,80.0,NISSAN,4674,0201-T30F,FEBEST,402.0,"Brake Pad Set, disc brake",155555409.0,41060-8H785
15,OENumber,OE Number,41060-8H785,80.0,NISSAN,101,170241,FEBI BILSTEIN,402.0,"Brake Pad Set, disc brake",629627599.0,41060-8H785
16,OENumber,OE Number,410608H785,80.0,NISSAN,62,FDB1263,FERODO,402.0,"Brake Pad Set, disc brake",27462171.0,41060-8H785
17,OENumber,OE Number,410608H785,80.0,NISSAN,2,8DB 355 021-651,HELLA,402.0,"Brake Pad Set, disc brake",159505195.0,41060-8H785
18,OENumber,OE Number,410608H785,80.0,NISSAN,2,8DB 355 030-171,HELLA,402.0,"Brake Pad Set, disc brake",283596515.0,41060-8H785
19,OENumber,OE Number,410608H785,80.0,NISSAN,4625,8DB 355 021-651,HELLA PAGID,402.0,"Brake Pad Set, disc brake",177985418.0,41060-8H785
20,OENumber,OE Number,410608H785,80.0,NISSAN,4625,8DB 355 030-171,HELLA PAGID,402.0,"Brake Pad Set, disc brake",288799392.0,41060-8H785
21,OENumber,OE Number,41060-8H785,80.0,NISSAN,158,181521-396,ICER,402.0,"Brake Pad Set, disc brake",881273660.0,41060-8H785
22,OENumber,OE Number,410608H785,80.0,NISSAN,95,363802160644,MAGNETI MARELLI,402.0,"Brake Pad Set, disc brake",43646608.0,41060-8H785
23,OENumber,OE Number,41060-8H785,80.0,NISSAN,4008,MBF015739,MANDO,402.0,"Brake Pad Set, disc brake",647329696.0,41060-8H785
24,OENumber,OE Number,41060-8H785,80.0,NISSAN,133,6755,MAPCO,402.0,"Brake Pad Set, disc brake",56614415.0,41060-8H785
25,OENumber,OE Number,41060-8H785,80.0,NISSAN,144,025 234 2016/PD,MEYLE,402.0,"Brake Pad Set, disc brake",1310711323.0,41060-8H785
26,OENumber,OE Number,41060-8H785,80.0,NISSAN,144,025 234 2016/W,MEYLE,402.0,"Brake Pad Set, disc brake",60307408.0,41060-8H785
27,OENumber,OE Number,410608H785,80.0,NISSAN,73,MDB3735,MINTEX,402.0,"Brake Pad Set, disc brake",160591724.0,41060-8H785
28,OENumber,OE Number,410608H785,80.0,NISSAN,4990,NP2030,NISSHINBO,402.0,"Brake Pad Set, disc brake",248607515.0,41060-8H785
29,OENumber,OE Number,410608H785,80.0,NISSAN,129,12125,OPTIMAL,402.0,"Brake Pad Set, disc brake",54777943.0,41060-8H785
30,OENumber,OE Number,410608H785,80.0,NISSAN,129,BP-12125,OPTIMAL,402.0,"Brake Pad Set, disc brake",436561049.0,41060-8H785
31,OENumber,OE Number,41060-8H785,80.0,NISSAN,50,VKBP 80296,SKF,402.0,"Brake Pad Set, disc brake",1240417288.0,41060-8H785
32,OENumber,OE Number,41060-8H785,80.0,NISSAN,50,VKBP 80888 A,SKF,402.0,"Brake Pad Set, disc brake",1337648181.0,41060-8H785
33,OENumber,OE Number,410608H785,80.0,NISSAN,39,2342004,TEXTAR,402.0,"Brake Pad Set, disc brake",160181418.0,41060-8H785
34,OENumber,OE Number,41060-8H785,80.0,NISSAN,161,GDB3293,TRW,402.0,"Brake Pad Set, disc brake",66121886.0,41060-8H785
35,OENumber,OE Number,410608H785,80.0,NISSAN,162,V38-0034,VAICO,402.0,"Brake Pad Set, disc brake",67773226.0,41060-8H785
36,OENumber,OE Number,41060-8H785,80.0,NISSAN,21,598452,VALEO,402.0,"Brake Pad Set, disc brake",13669451.0,41060-8H785
37,OENumber,OE Number,410608H785,80.0,NISSAN,21,598452,VALEO,402.0,"Brake Pad Set, disc brake",446456311.0,41060-8H785
38,OENumber,OE Number,41060-8H785,80.0,NISSAN,21,670452,VALEO,402.0,"Brake Pad Set, disc brake",123735934.0,41060-8H785
39,OENumber,OE Number,410608H785,80.0,NISSAN,21,670452,VALEO,402.0,"Brake Pad Set, disc brake",38421364.0,41060-8H785
40,OENumber,OE Number,410608H785,80.0,NISSAN,4498,WBP23420A,WAGNER,,,,41060-8H785
41,OENumber,OE Number,41060-8H785,80.0,NISSAN,86,23422.165.1,ZIMMERMANN,,,,41060-8H785
0,OENumber,OE Number,5 0039 0994,55.0,IVECO,101,177608,FEBI BILSTEIN,1644.0,Valve Guide,1152815574.0,500390994
1,OENumber,OE Number,500390994,55.0,IVECO,287,007 FA 32127 000,MAHLE,1644.0,Valve Guide,1362910088.0,500390994
2,OENumber,OE Number,500390994,55.0,IVECO,347,81-17133,TRW Engine Component,1644.0,Valve Guide,349392799.0,500390994
3,,,,,,,,,7736.0,Valve Guide,1150110755.0,500390994
0,OENumber,OE Number,13502137,84.0,OPEL,221,19372207,ACDelco,82.0,Brake Disc,447331323.0,13502137
1,OENumber,OE Number,13502137,117.0,VAUXHALL,350,ADW194307,BLUE PRINT,82.0,Brake Disc,101579895.0,13502137
2,OENumber,OE Number,13502137,753.0,GENERAL MOTORS,350,ADW194307,BLUE PRINT,82.0,Brake Disc,116972649.0,13502137
3,OENumber,OE Number,13502137,84.0,OPEL,475,BBD4799,BORG & BECK,82.0,Brake Disc,30009801.0,13502137
4,OENumber,OE Number,13502137,117.0,VAUXHALL,475,BBD4799,BORG & BECK,82.0,Brake Disc,1277885931.0,13502137
5,OENumber,OE Number,13502137,753.0,GENERAL MOTORS,475,BBD4799,BORG & BECK,82.0,Brake Disc,321957148.0,13502137
6,OENumber,OE Number,13502137,84.0,OPEL,65,08.B351.11,BREMBO,82.0,Brake Disc,39465499.0,13502137
7,OENumber,OE Number,13502137,117.0,VAUXHALL,65,08.B351.11,BREMBO,82.0,Brake Disc,483533632.0,13502137
8,OENumber,OE Number,13502137,84.0,OPEL,65,08.B351.1X,BREMBO,82.0,Brake Disc,479267503.0,13502137
9,OENumber,OE Number,13502137,117.0,VAUXHALL,65,08.B351.1X,BREMBO,82.0,Brake Disc,1212931184.0,13502137
10,OENumber,OE Number,13502137,84.0,OPEL,43,562640CH,CHAMPION,82.0,Brake Disc,49121203.0,13502137
11,OENumber,OE Number,13502137,117.0,VAUXHALL,43,562640CH,CHAMPION,82.0,Brake Disc,27294759.0,13502137
12,OENumber,OE Number,13502137,84.0,OPEL,89,BG4279,DELPHI,82.0,Brake Disc,273611861.0,13502137
13,OENumber,OE Number,13502137,117.0,VAUXHALL,89,BG4279,DELPHI,82.0,Brake Disc,5367960.0,13502137
14,OENumber,OE Number,13502137,84.0,OPEL,89,BG4279C,DELPHI,82.0,Brake Disc,132708127.0,13502137
15,OENumber,OE Number,13502137,117.0,VAUXHALL,89,BG4279C,DELPHI,82.0,Brake Disc,482602880.0,13502137
16,OENumber,OE Number,13502137,84.0,OPEL,4391,1642775080,EUROREPAR,82.0,Brake Disc,1341209048.0,13502137
17,OENumber,OE Number,13502137,117.0,VAUXHALL,4391,1642775080,EUROREPAR,82.0,Brake Disc,201634889.0,13502137
18,OENumber,OE Number,13502137,84.0,OPEL,4391,1687775980,EUROREPAR,82.0,Brake Disc,201634890.0,13502137
19,OENumber,OE Number,13502137,117.0,VAUXHALL,4391,1687775980,EUROREPAR,82.0,Brake Disc,1375442382.0,13502137
20,OENumber,OE Number,13502137,138.0,CHEVROLET,4391,1687775980,EUROREPAR,82.0,Brake Disc,427600154.0,13502137
21,OENumber,OE Number,13502137,117.0,VAUXHALL,101,39189,FEBI BILSTEIN,82.0,Brake Disc,1378999085.0,13502137
22,OENumber,OE Number,13502137,753.0,GENERAL MOTORS,101,39189,FEBI BILSTEIN,82.0,Brake Disc,56025415.0,13502137
