index,matchType,description,match,mfrId,mfrName,part_dataSupplierId,part_articleNumber,part_mfrName,genericArticleId,genericArticleDescription,legacyArticleId,OEM SKU,OEM DESC
0,OENumber,OE Number,08790-3M000-A,183.0,HYUNDAI,81,E5946LI,HENGST FILTER,424.0,"Filter, cabin air",584146608.0,08790-3M000A,Air Filter *
0,OENumber,OE Number,087902H000A,183.0,HYUNDAI,140,49359582,CORTECO,424.0,"Filter, cabin air",147783923.0,08790-2H000A,Air Filter
1,OENumber,OE Number,08790-2H000A,183.0,HYUNDAI,140,49382449,CORTECO,424.0,"Filter, cabin air",255018197.0,08790-2H000A,Air Filter
2,OENumber,OE Number,08790-2H000A,183.0,HYUNDAI,4674,1243-007,FEBEST,424.0,"Filter, cabin air",1341934134.0,08790-2H000A,Air Filter
3,OENumber,OE Number,08790-2H000-A,183.0,HYUNDAI,81,E3902LI,HENGST FILTER,424.0,"Filter, cabin air",37927461.0,08790-2H000A,Air Filter
4,OENumber,OE Number,08790-2H000A,183.0,HYUNDAI,95,154703719920,MAGNETI MARELLI,424.0,"Filter, cabin air",43007098.0,08790-2H000A,Air Filter
5,OENumber,OE Number,08790-2H000A,183.0,HYUNDAI,95,154723529470,MAGNETI MARELLI,424.0,"Filter, cabin air",160713958.0,08790-2H000A,Air Filter
6,OENumber,OE Number,08790-2H000A,183.0,HYUNDAI,287,LA 447,MAHLE,424.0,"Filter, cabin air",92787028.0,08790-2H000A,Air Filter
7,OENumber,OE Number,087902H000A,184.0,KIA,287,LA 447,MAHLE,424.0,"Filter, cabin air",92807396.0,08790-2H000A,Air Filter
8,OENumber,OE Number,08790-2H000A,183.0,HYUNDAI,287,LAK 447,MAHLE,424.0,"Filter, cabin air",537673628.0,08790-2H000A,Air Filter
9,OENumber,OE Number,087902H000A,184.0,KIA,287,LAK 447,MAHLE,,,,08790-2H000A,Air Filter
10,OENumber,OE Number,087902H000A,183.0,HYUNDAI,4008,ECF00070M,MANDO,,,,08790-2H000A,Air Filter
0,OENumber,OE Number,08790-2E250-A,183.0,HYUNDAI,140,80001214,CORTECO,424.0,"Filter, cabin air",59528831.0,08790-2E250A,Filter Air *
1,OENumber,OE Number,08790-2E250-A,183.0,HYUNDAI,140,80001215,CORTECO,424.0,"Filter, cabin air",59528866.0,08790-2E250A,Filter Air *
2,OENumber,OE Number,08790-2E250A,183.0,HYUNDAI,4674,1243-004,FEBEST,424.0,"Filter, cabin air",1341931816.0,08790-2E250A,Filter Air *
3,OENumber,OE Number,08790-2E250-A,183.0,HYUNDAI,81,E2995LI,HENGST FILTER,424.0,"Filter, cabin air",37917775.0,08790-2E250A,Filter Air *
4,OENumber,OE Number,08790-2E250A,183.0,HYUNDAI,95,154703426910,MAGNETI MARELLI,424.0,"Filter, cabin air",42992865.0,08790-2E250A,Filter Air *
5,OENumber,OE Number,08790-2E250A,183.0,HYUNDAI,287,LA 301,MAHLE,424.0,"Filter, cabin air",92781162.0,08790-2E250A,Filter Air *
6,OENumber,OE Number,087902E250A,184.0,KIA,287,LA 301,MAHLE,424.0,"Filter, cabin air",537673410.0,08790-2E250A,Filter Air *
7,OENumber,OE Number,087902E250A,184.0,KIA,4008,ECF00037M,MANDO,424.0,"Filter, cabin air",1262355705.0,08790-2E250A,Filter Air *
8,OENumber,OE Number,087902E250A,184.0,KIA,4008,ECF00037MC,MANDO,,,,08790-2E250A,Filter Air *
0,OENumber,OE Number,1884111051,80.0,NISSAN,221,19375665,ACDelco,686.0,Spark Plug,460682409.0,18841-11051,Plug Assembly Spark
1,OENumber,OE Number,1884111051,183.0,HYUNDAI,221,19375665,ACDelco,686.0,Spark Plug,645345556.0,18841-11051,Plug Assembly Spark
2,OENumber,OE Number,1884111051,184.0,KIA,221,19375665,ACDelco,686.0,Spark Plug,297825.0,18841-11051,Plug Assembly Spark
3,OENumber,OE Number,18841 11051,184.0,KIA,6441,Z183,BERU by DRiV,686.0,Spark Plug,307896.0,18841-11051,Plug Assembly Spark
4,OENumber,OE Number,18841 11051,183.0,HYUNDAI,30,0 242 229 630,BOSCH,686.0,Spark Plug,1237248121.0,18841-11051,Plug Assembly Spark
5,OENumber,OE Number,18841 11051,184.0,KIA,30,0 242 229 630,BOSCH,686.0,Spark Plug,30711982.0,18841-11051,Plug Assembly Spark
6,OENumber,OE Number,18841 11051,183.0,HYUNDAI,30,0 242 229 993,BOSCH,686.0,Spark Plug,30713762.0,18841-11051,Plug Assembly Spark
7,OENumber,OE Number,18841 11051,184.0,KIA,30,0 242 229 993,BOSCH,686.0,Spark Plug,386400363.0,18841-11051,Plug Assembly Spark
8,OENumber,OE Number,18841-11051,183.0,HYUNDAI,43,CCH975,CHAMPION,686.0,Spark Plug,5562514.0,18841-11051,Plug Assembly Spark
9,OENumber,OE Number,18841-11051,183.0,HYUNDAI,66,K16HPR-U11,DENSO,686.0,Spark Plug,254461991.0,18841-11051,Plug Assembly Spark
