matchType,description,match,mfrId,mfrName,part_dataSupplierId,part_articleNumber,part_mfrName,genericArticleId,genericArticleDescription,legacyArticleId,linkageTargetTypes,OEM SKU
OENumber,OE Number,23623677,2.0,ALFA ROMEO,65,P25011N,BREMBO,402.0,"Brake Pad Set, disc brake",1373658942.0,"['V', 'O', 'A']",23100-3FY1A-SBK-SC
OENumber,OE Number,23623677,2.0,ALFA ROMEO,65,P25011N,BREMBO,402.0,"Brake Pad Set, disc brake",1373658942.0,"['V', 'O', 'A']",37300-04335
OENumber,OE Number,23623677,2.0,ALFA ROMEO,65,P25011N,BREMBO,402.0,"Brake Pad Set, disc brake",1373658942.0,"['V', 'O', 'A']",54650-BV000
OENumber,OE Number,2 008 440,36.0,FORD,350,ADF124377,BLUE PRINT,82.0,Brake Disc,549939402.0,"['V', 'O', 'A']",54650-BV000
OENumber,OE Number,2008440,36.0,FORD,475,BBD5458,BORG & BECK,82.0,Brake Disc,260127004.0,"['V', 'O', 'A']",54650-BV000
OENumber,OE Number,2008440,36.0,FORD,65,08.N258.21,BREMBO,82.0,Brake Disc,435737933.0,"['V', 'O', 'A']",54650-BV000
OENumber,OE Number,2008440,36.0,FORD,89,BG4782C,DELPHI,82.0,Brake Disc,267835014.0,"['V', 'O', 'A']",54650-BV000
OENumber,OE Number,2 008 440,36.0,FORD,101,107729,FEBI BILSTEIN,82.0,Brake Disc,526813055.0,"['V', 'O', 'A']",54650-BV000
OENumber,OE Number,2008440,36.0,FORD,62,DDF2788C,FERODO,82.0,Brake Disc,1180136135.0,"['V', 'O', 'A']",54650-BV000
OENumber,OE Number,2008440,36.0,FORD,2,8DD 355 126-581,HELLA,82.0,Brake Disc,725716830.0,"['V', 'O', 'A']",54650-BV000
OENumber,OE Number,2008440,36.0,FORD,4625,8DD 355 126-581,HELLA PAGID,82.0,Brake Disc,724291775.0,"['V', 'O', 'A']",54650-BV000
OENumber,OE Number,2008440,36.0,FORD,95,360406165701,MAGNETI MARELLI,82.0,Brake Disc,1355328644.0,"['V', 'O', 'A']",54650-BV000
OENumber,OE Number,2008440,36.0,FORD,95,361302040654,MAGNETI MARELLI,82.0,Brake Disc,1260145639.0,"['V', 'O', 'A']",54650-BV000
OENumber,OE Number,2008440,36.0,FORD,4008,MBC036238,MANDO,82.0,Brake Disc,1379021015.0,"['V', 'O', 'A']",54650-BV000
OENumber,OE Number,2 008 440,36.0,FORD,144,715 523 0027/PD,MEYLE,82.0,Brake Disc,1152533510.0,"['V', 'O', 'A']",54650-BV000
OENumber,OE Number,2008440,36.0,FORD,73,MDC2809C,MINTEX,82.0,Brake Disc,357680092.0,"['V', 'O', 'A']",54650-BV000
OENumber,OE Number,2008440,36.0,FORD,50,VKBD 91324 S2,SKF,82.0,Brake Disc,1416385017.0,"['V', 'O', 'A']",54650-BV000
OENumber,OE Number,2008440,36.0,FORD,39,92292503,TEXTAR,82.0,Brake Disc,357510368.0,"['V', 'O', 'A']",54650-BV000
OENumber,OE Number,2008440,36.0,FORD,108,8120 16182C,TRISCAN,82.0,Brake Disc,928475120.0,"['V', 'O', 'A']",54650-BV000
OENumber,OE Number,2 008 440,36.0,FORD,162,V25-40221,VAICO,82.0,Brake Disc,1263708304.0,"['V', 'O', 'A']",54650-BV000
OENumber,OE Number,2 008 440,36.0,FORD,86,250.1378.20,ZIMMERMANN,82.0,Brake Disc,146680361.0,"['V', 'O', 'A']",54650-BV000
OENumber,OE Number,13717850056,16.0,BMW,475,BFA2699,BORG & BECK,8.0,Air Filter,1294101599.0,"['V', 'O', 'M']",13717850056
OENumber,OE Number,2 008 440,36.0,FORD,350,ADF124377,BLUE PRINT,82.0,Brake Disc,549939402.0,"['V', 'O', 'A']",2008440
OENumber,OE Number,2008440,36.0,FORD,475,BBD5458,BORG & BECK,82.0,Brake Disc,260127004.0,"['V', 'O', 'A']",2008440
OENumber,OE Number,2008440,36.0,FORD,65,08.N258.21,BREMBO,82.0,Brake Disc,435737933.0,"['V', 'O', 'A']",2008440
OENumber,OE Number,2008440,36.0,FORD,89,BG4782C,DELPHI,82.0,Brake Disc,267835014.0,"['V', 'O', 'A']",2008440
