index,matchType,description,match,mfrId,mfrName,part_dataSupplierId,part_articleNumber,part_mfrName,genericArticleId,genericArticleDescription,legacyArticleId,OEM SKU,OEM DESC
0,OENumber,OE Number,55830-50J01,109.0,SUZUKI,4674,0775-GVJBF,FEBEST,405.0,"Repair Kit, brake caliper",155559196.0,55830-50J01,Seal Set Piston
0,OENumber,OE Number,1770066J00,109.0,SUZUKI,66,DRM47031,DENSO,470.0,"Radiator, engine cooling",146347634.0,17700-66J00,Radiator Assembly
1,OENumber,OE Number,1770066J00,109.0,SUZUKI,287,CR 1873 000S,MAHLE,470.0,"Radiator, engine cooling",618130341.0,17700-66J00,Radiator Assembly
2,OENumber,OE Number,17700-66J00,109.0,SUZUKI,123,64202,NISSENS,470.0,"Radiator, engine cooling",53387170.0,17700-66J00,Radiator Assembly
3,OENumber,OE Number,17700-66J00,109.0,SUZUKI,21,735433,VALEO,470.0,"Radiator, engine cooling",13936684.0,17700-66J00,Radiator Assembly
4,OENumber,OE Number,1770066J00,109.0,SUZUKI,21,735433,VALEO,,,,17700-66J00,Radiator Assembly
0,OENumber,OE Number,11179-81402,109.0,SUZUKI,4674,SZCP-002,FEBEST,4317.0,"Seal Ring, spark plug shaft",155573514.0,11179-81402,O-Ring Spark Plug Pipe
0,OENumber,OE Number,11189-65J00,109.0,SUZUKI,10,459.310,ELRING,321.0,"Gasket, cylinder head cover",206558178.0,11189-65J00,Gasket Cylinder Head Cover
1,OENumber,OE Number,11189-65J00,109.0,SUZUKI,9,71-21698-00,VICTOR REINZ,321.0,"Gasket, cylinder head cover",1248099317.0,11189-65J00,Gasket Cylinder Head Cover
0,OENumber,OE Number,27101-66J01,109.0,SUZUKI,4674,0711-JB420SHA,FEBEST,1427.0,"Joint, propshaft",272253892.0,27101-66J01,Shaft Assembly Propeller Front
1,OENumber,OE Number,27101-66J01,109.0,SUZUKI,4674,0715-JB420SA,FEBEST,4336.0,"Bellow, propshaft",1238710517.0,27101-66J01,Shaft Assembly Propeller Front
2,OENumber,OE Number,27101-66J01,109.0,SUZUKI,4674,ASSZ-PSJB420,FEBEST,3675.0,"Propshaft, axle drive",261917040.0,27101-66J01,Shaft Assembly Propeller Front
0,OENumber,OE Number,55234-50J00,109.0,SUZUKI,4674,0703-JB416F-KIT,FEBEST,1164.0,"Accessory Kit, disc brake pad",1139357703.0,55234-50J00,Liner-A Pad
0,OENumber,OE Number,18640-78G00,109.0,SUZUKI,350,ADK87224,BLUE PRINT,3921.0,Knock Sensor,326196432.0,18640-78G00,Sensor Assembly Knock
1,OENumber,OE Number,1864078G00,109.0,SUZUKI,89,AS10252,DELPHI,3921.0,Knock Sensor,525683184.0,18640-78G00,Sensor Assembly Knock
2,OENumber,OE Number,18640-78G00,109.0,SUZUKI,101,106780,FEBI BILSTEIN,3921.0,Knock Sensor,548136187.0,18640-78G00,Sensor Assembly Knock
0,OENumber,OE Number,17400-69G01,107.0,SUBARU,166,WPS-037V,AISIN,1260.0,"Water Pump, engine cooling",68340516.0,17400-69G01,Pump Assembly Water
1,OENumber,OE Number,17400-69G01,109.0,SUZUKI,166,WPS-037V,AISIN,1260.0,"Water Pump, engine cooling",101399873.0,17400-69G01,Pump Assembly Water
2,OENumber,OE Number,1740069G01,107.0,SUBARU,350,ADK89114,BLUE PRINT,1260.0,"Water Pump, engine cooling",117847673.0,17400-69G01,Pump Assembly Water
3,OENumber,OE Number,17400-69G01,109.0,SUZUKI,350,ADK89114,BLUE PRINT,1260.0,"Water Pump, engine cooling",1191731869.0,17400-69G01,Pump Assembly Water
4,OENumber,OE Number,17400-69G01,107.0,SUBARU,475,BWP2118,BORG & BECK,1260.0,"Water Pump, engine cooling",396888784.0,17400-69G01,Pump Assembly Water
5,OENumber,OE Number,1740069G01,109.0,SUZUKI,475,BWP2118,BORG & BECK,1260.0,"Water Pump, engine cooling",48042486.0,17400-69G01,Pump Assembly Water
6,OENumber,OE Number,17400-69G01,109.0,SUZUKI,475,BWP2118,BORG & BECK,1260.0,"Water Pump, engine cooling",1243646762.0,17400-69G01,Pump Assembly Water
7,OENumber,OE Number,17400-69G01,107.0,SUBARU,31,WPS3137,CONTINENTAL CTAM,1260.0,"Water Pump, engine cooling",69441148.0,17400-69G01,Pump Assembly Water
8,OENumber,OE Number,1740069G01,109.0,SUZUKI,31,WPS3137,CONTINENTAL CTAM,1260.0,"Water Pump, engine cooling",544682793.0,17400-69G01,Pump Assembly Water
9,OENumber,OE Number,17400-69G01,2.0,ALFA ROMEO,4391,1623112380,EUROREPAR,1260.0,"Water Pump, engine cooling",255508944.0,17400-69G01,Pump Assembly Water
10,OENumber,OE Number,17400-69G01,107.0,SUBARU,4391,1623112380,EUROREPAR,1260.0,"Water Pump, engine cooling",43328837.0,17400-69G01,Pump Assembly Water
11,OENumber,OE Number,17400-69G01,109.0,SUZUKI,4391,1623112380,EUROREPAR,1260.0,"Water Pump, engine cooling",509388378.0,17400-69G01,Pump Assembly Water
12,OENumber,OE Number,1740069G01,107.0,SUBARU,101,30701,FEBI BILSTEIN,1260.0,"Water Pump, engine cooling",43418585.0,17400-69G01,Pump Assembly Water
13,OENumber,OE Number,17400-69G01,109.0,SUZUKI,101,30701,FEBI BILSTEIN,1260.0,"Water Pump, engine cooling",618039746.0,17400-69G01,Pump Assembly Water
14,OENumber,OE Number,17400-69G01,109.0,SUZUKI,33,WP0231,GATES,1260.0,"Water Pump, engine cooling",618039796.0,17400-69G01,Pump Assembly Water
15,OENumber,OE Number,17400-69G01,107.0,SUBARU,181,987521,GK,1260.0,"Water Pump, engine cooling",537795031.0,17400-69G01,Pump Assembly Water
16,OENumber,OE Number,1740069G01,109.0,SUZUKI,181,987521,GK,1260.0,"Water Pump, engine cooling",55953134.0,17400-69G01,Pump Assembly Water
17,OENumber,OE Number,17400-69G01,35.0,FIAT,6375,GWS-34A,GMB,1260.0,"Water Pump, engine cooling",61357814.0,17400-69G01,Pump Assembly Water
18,OENumber,OE Number,17400-69G01,107.0,SUBARU,6375,GWS-34A,GMB,1260.0,"Water Pump, engine cooling",55012004.0,17400-69G01,Pump Assembly Water
19,OENumber,OE Number,17400-69G01,109.0,SUZUKI,6375,GWS-34A,GMB,1260.0,"Water Pump, engine cooling",23676606.0,17400-69G01,Pump Assembly Water
20,OENumber,OE Number,17400-69G01,109.0,SUZUKI,204,538 0624 10,INA,1260.0,"Water Pump, engine cooling",13158785.0,17400-69G01,Pump Assembly Water
21,OENumber,OE Number,1740069G01,109.0,SUZUKI,204,538 0624 10,INA,,,,17400-69G01,Pump Assembly Water
22,OENumber,OE Number,17400-69G01,107.0,SUBARU,95,350982026000,MAGNETI MARELLI,,,,17400-69G01,Pump Assembly Water
23,OENumber,OE Number,1740069G01,109.0,SUZUKI,95,350982026000,MAGNETI MARELLI,,,,17400-69G01,Pump Assembly Water
24,OENumber,OE Number,17400-69G01,109.0,SUZUKI,95,351110022800,MAGNETI MARELLI,,,,17400-69G01,Pump Assembly Water
25,OENumber,OE Number,1740069G01,109.0,SUZUKI,95,352316171015,MAGNETI MARELLI,,,,17400-69G01,Pump Assembly Water
26,OENumber,OE Number,1740069G01,109.0,SUZUKI,287,CP 352 000P,MAHLE,,,,17400-69G01,Pump Assembly Water
27,OENumber,OE Number,1740069G01,107.0,SUBARU,287,CP 352 000S,MAHLE,,,,17400-69G01,Pump Assembly Water
28,OENumber,OE Number,1740069G01,109.0,SUZUKI,287,CP 352 000S,MAHLE,,,,17400-69G01,Pump Assembly Water
29,OENumber,OE Number,1740069G01,107.0,SUBARU,4008,MMC010061,MANDO,,,,17400-69G01,Pump Assembly Water
30,OENumber,OE Number,1740069G01,109.0,SUZUKI,4008,MMC010061,MANDO,,,,17400-69G01,Pump Assembly Water
31,OENumber,OE Number,17400-69G01,109.0,SUZUKI,133,21511,MAPCO,,,,17400-69G01,Pump Assembly Water
32,OENumber,OE Number,17400-69G01,109.0,SUZUKI,144,33-13 220 0004,MEYLE,,,,17400-69G01,Pump Assembly Water
33,OENumber,OE Number,1740069G01,107.0,SUBARU,129,AQ-2160,OPTIMAL,,,,17400-69G01,Pump Assembly Water
34,OENumber,OE Number,1740069G01,109.0,SUZUKI,129,AQ-2160,OPTIMAL,,,,17400-69G01,Pump Assembly Water
35,OENumber,OE Number,17400-69G01,109.0,SUZUKI,50,VKPC 96404,SKF,,,,17400-69G01,Pump Assembly Water
