index,matchType,description,match,mfrId,mfrName,part_dataSupplierId,part_articleNumber,part_mfrName,genericArticleId,genericArticleDescription,legacyArticleId,OEM SKU,OEM DESC
0,OENumber,OE Number,26010-BR00B,80.0,NISSAN,61,20-12319-05-2,TYC,259.0,Headlight,27081067.0,26010-BR00B,Headlamp Assembly RH
1,OENumber,OE Number,26010BR00B,80.0,NISSAN,61,20-12319-05-2,TYC,259.0,Headlight,27081087.0,26010-BR00B,Headlamp Assembly RH
2,OENumber,OE Number,26010-BR00B,80.0,NISSAN,61,20-12319-10-21,TYC,259.0,Headlight,27081095.0,26010-BR00B,Headlamp Assembly RH
3,OENumber,OE Number,26010BR00B,80.0,NISSAN,61,20-12319-10-21,TYC,,,,26010-BR00B,Headlamp Assembly RH
4,OENumber,OE Number,26010-BR00B,80.0,NISSAN,61,20-12319-15-2,TYC,,,,26010-BR00B,Headlamp Assembly RH
5,OENumber,OE Number,26010BR00B,80.0,NISSAN,61,20-12319-15-2,TYC,,,,26010-BR00B,Headlamp Assembly RH
0,OENumber,OE Number,26060-BR00B,80.0,NISSAN,61,20-12320-05-2,TYC,259.0,Headlight,27081096.0,26060-BR00B,Headlamp Assembly LH
1,OENumber,OE Number,26060BR00B,80.0,NISSAN,61,20-12320-05-2,TYC,259.0,Headlight,27081149.0,26060-BR00B,Headlamp Assembly LH
2,OENumber,OE Number,26060-BR00B,80.0,NISSAN,61,20-12320-10-21,TYC,259.0,Headlight,27081157.0,26060-BR00B,Headlamp Assembly LH
3,OENumber,OE Number,26060BR00B,80.0,NISSAN,61,20-12320-10-21,TYC,,,,26060-BR00B,Headlamp Assembly LH
4,OENumber,OE Number,26060-BR00B,80.0,NISSAN,61,20-12320-15-2,TYC,,,,26060-BR00B,Headlamp Assembly LH
5,OENumber,OE Number,26060BR00B,80.0,NISSAN,61,20-12320-15-2,TYC,,,,26060-BR00B,Headlamp Assembly LH
0,OENumber,OE Number,26060BR60B,80.0,NISSAN,61,20-15788-06-2,TYC,259.0,Headlight,277826996.0,26060-BR60B,Headlamp Assembly LH
1,OENumber,OE Number,26060-BR60B,80.0,NISSAN,61,20-15788-06-2,TYC,259.0,Headlight,277827007.0,26060-BR60B,Headlamp Assembly LH
2,OENumber,OE Number,26060BR60B,80.0,NISSAN,61,20-15788-16-2,TYC,,,,26060-BR60B,Headlamp Assembly LH
3,OENumber,OE Number,26060-BR60B,80.0,NISSAN,61,20-15788-16-2,TYC,,,,26060-BR60B,Headlamp Assembly LH
0,OENumber,OE Number,26555-1HA1B,80.0,NISSAN,61,11-12378-01-9,TYC,391.0,Tail Light Assembly,26982839.0,26555-1HA1B,Combination Lamp Assembly - Rear LH
1,OENumber,OE Number,265551HA1B,80.0,NISSAN,61,11-12378-01-9,TYC,391.0,Tail Light Assembly,12449247.0,26555-1HA1B,Combination Lamp Assembly - Rear LH
2,OENumber,OE Number,26555-1HA1B,80.0,NISSAN,21,044491,VALEO,,,,26555-1HA1B,Combination Lamp Assembly - Rear LH
3,OENumber,OE Number,265551HA1B,80.0,NISSAN,21,044491,VALEO,,,,26555-1HA1B,Combination Lamp Assembly - Rear LH
0,OENumber,OE Number,28890EM31A,80.0,NISSAN,95,000723140350,MAGNETI MARELLI,298.0,Wiper Blade,615482680.0,28890-EM31A,Blade Assembly - Windshield Wiper
1,OENumber,OE Number,28890-EM31A,80.0,NISSAN,21,574196,VALEO,298.0,Wiper Blade,13417670.0,28890-EM31A,Blade Assembly - Windshield Wiper
2,OENumber,OE Number,28890EM31A,80.0,NISSAN,21,574196,VALEO,,,,28890-EM31A,Blade Assembly - Windshield Wiper
0,OENumber,OE Number,31293611,120.0,VOLVO,475,BBT148,BORG & BECK,316.0,"Thermostat, coolant",117181492.0,31293611,Thermostat Kit
1,OENumber,OE Number,31293611,120.0,VOLVO,66,DTM88514,DENSO,316.0,"Thermostat, coolant",267689982.0,31293611,Thermostat Kit
2,OENumber,OE Number,31293611,120.0,VOLVO,101,106075,FEBI BILSTEIN,316.0,"Thermostat, coolant",459919407.0,31293611,Thermostat Kit
3,OENumber,OE Number,31293611,120.0,VOLVO,33,TH44989G1,GATES,316.0,"Thermostat, coolant",17345761.0,31293611,Thermostat Kit
4,OENumber,OE Number,31293611,120.0,VOLVO,181,701119,GK,316.0,"Thermostat, coolant",1276903208.0,31293611,Thermostat Kit
5,OENumber,OE Number,31293611,120.0,VOLVO,95,352051488000,MAGNETI MARELLI,316.0,"Thermostat, coolant",182479884.0,31293611,Thermostat Kit
6,OENumber,OE Number,31293611,120.0,VOLVO,95,352317001860,MAGNETI MARELLI,316.0,"Thermostat, coolant",436703060.0,31293611,Thermostat Kit
7,OENumber,OE Number,31293611,120.0,VOLVO,95,352317101860,MAGNETI MARELLI,316.0,"Thermostat, coolant",602829076.0,31293611,Thermostat Kit
8,OENumber,OE Number,31293611,120.0,VOLVO,95,359001201680,MAGNETI MARELLI,316.0,"Thermostat, coolant",147036456.0,31293611,Thermostat Kit
9,OENumber,OE Number,31293611,120.0,VOLVO,287,TI 202 90,MAHLE,316.0,"Thermostat, coolant",92941645.0,31293611,Thermostat Kit
10,OENumber,OE Number,31293611,120.0,VOLVO,144,728 228 0006,MEYLE,316.0,"Thermostat, coolant",833834442.0,31293611,Thermostat Kit
0,OENumber,OE Number,31728-3XX0A,80.0,NISSAN,350,ADBP210068,BLUE PRINT,3843.0,"Hydraulic Filter Kit, automatic transmission",854273593.0,31728-3XX0A,Strainer Assembly - Oil
1,OENumber,OE Number,31728-3XX0A,80.0,NISSAN,101,173136,FEBI BILSTEIN,3843.0,"Hydraulic Filter Kit, automatic transmission",852528579.0,31728-3XX0A,Strainer Assembly - Oil
2,OENumber,OE Number,31728-3XX0A,80.0,NISSAN,162,V38-0222,VAICO,4921.0,"Parts kit, automatic transmission oil change",1220431140.0,31728-3XX0A,Strainer Assembly - Oil
3,OENumber,OE Number,31728-3XX0A,80.0,NISSAN,162,V38-0222-BEK,VAICO,4921.0,"Parts kit, automatic transmission oil change",1254314352.0,31728-3XX0A,Strainer Assembly - Oil
4,OENumber,OE Number,31728-3XX0A,80.0,NISSAN,162,V38-0222-SP,VAICO,4921.0,"Parts kit, automatic transmission oil change",1380118917.0,31728-3XX0A,Strainer Assembly - Oil
5,OENumber,OE Number,31728-3XX0A,80.0,NISSAN,162,V38-0222-XXL,VAICO,4921.0,"Parts kit, automatic transmission oil change",1254314360.0,31728-3XX0A,Strainer Assembly - Oil
6,OENumber,OE Number,31728-3XX0A,80.0,NISSAN,162,V38-0513,VAICO,416.0,"Hydraulic Filter, automatic transmission",472939697.0,31728-3XX0A,Strainer Assembly - Oil
7,OENumber,OE Number,31728-3XX0A,80.0,NISSAN,162,V38-0515,VAICO,3843.0,"Hydraulic Filter Kit, automatic transmission",472939699.0,31728-3XX0A,Strainer Assembly - Oil
0,OENumber,OE Number,31728-85X0A,80.0,NISSAN,162,V38-0559,VAICO,416.0,"Hydraulic Filter, automatic transmission",472939943.0,31728-85X0A,Strainer Assembly - Oil
1,OENumber,OE Number,31728-85X0A,80.0,NISSAN,162,V38-0560,VAICO,3843.0,"Hydraulic Filter Kit, automatic transmission",472939944.0,31728-85X0A,Strainer Assembly - Oil
0,OENumber,OE Number,32217561,120.0,VOLVO,350,ADF124365,BLUE PRINT,82.0,Brake Disc,462630638.0,32217561,Disc Brake Rotor Front 17inch
1,OENumber,OE Number,32217561,120.0,VOLVO,475,BBD6148S,BORG & BECK,82.0,Brake Disc,374892528.0,32217561,Disc Brake Rotor Front 17inch
2,OENumber,OE Number,32217561,120.0,VOLVO,65,09.D251.11,BREMBO,82.0,Brake Disc,525213413.0,32217561,Disc Brake Rotor Front 17inch
3,OENumber,OE Number,32217561,120.0,VOLVO,89,BG9330C,DELPHI,82.0,Brake Disc,584466980.0,32217561,Disc Brake Rotor Front 17inch
4,OENumber,OE Number,32217561,120.0,VOLVO,101,106352,FEBI BILSTEIN,82.0,Brake Disc,485017879.0,32217561,Disc Brake Rotor Front 17inch
5,OENumber,OE Number,32217561,120.0,VOLVO,62,DDF2693C,FERODO,82.0,Brake Disc,702996838.0,32217561,Disc Brake Rotor Front 17inch
6,OENumber,OE Number,32217561,120.0,VOLVO,2,8DD 355 125-471,HELLA,82.0,Brake Disc,283598811.0,32217561,Disc Brake Rotor Front 17inch
7,OENumber,OE Number,32217561,120.0,VOLVO,4625,8DD 355 125-471,HELLA PAGID,82.0,Brake Disc,288801515.0,32217561,Disc Brake Rotor Front 17inch
8,OENumber,OE Number,32217561,120.0,VOLVO,144,583 521 0046/PD,MEYLE,82.0,Brake Disc,936993299.0,32217561,Disc Brake Rotor Front 17inch
9,OENumber,OE Number,32217561,120.0,VOLVO,73,MDC2761,MINTEX,82.0,Brake Disc,249100155.0,32217561,Disc Brake Rotor Front 17inch
