matchType,description,match,mfrId,mfrName,part_dataSupplierId,part_articleNumber,part_mfrName,genericArticleId,genericArticleDescription,legacyArticleId,linkageTargetTypes,OEM SKU
OENumber,OE Number,1611281280,21.0,CITROËN,31,6PK1642K4,CONTINENTAL CTAM,542.0,V-Ribbed Belt Set,1191721703.0,"['V', 'O', 'M']",95550-5H300
OENumber,OE Number,1611281280,88.0,PEUGEOT,31,6PK1642K4,CONTINENTAL CTAM,542.0,V-Ribbed Belt Set,1212925078.0,"['V', 'O', 'M']",95550-5H300
OENumber,OE Number,1611281280,21.0,CITROËN,4391,1687683080,EUROREPAR,542.0,V-Ribbed Belt Set,1311395644.0,"['V', 'O', 'M']",95550-5H300
OENumber,OE Number,1611281280,88.0,PEUGEOT,4391,1687683080,EUROREPAR,542.0,V-Ribbed Belt Set,437065846.0,"['V', 'O', 'M']",95550-5H300
OENumber,OE Number,16 112 812 80,21.0,CITROËN,101,184715,FEBI BILSTEIN,542.0,V-Ribbed Belt Set,703605002.0,"['V', 'O', 'M']",95550-5H300
OENumber,OE Number,16 112 812 80,88.0,PEUGEOT,101,184715,FEBI BILSTEIN,,,,,95550-5H300
OENumber,OE Number,16 112 812 80,21.0,CITROËN,204,529 0322 10,Schaeffler INA,,,,,95550-5H300
OENumber,OE Number,1611281280,21.0,CITROËN,204,529 0322 10,Schaeffler INA,,,,,95550-5H300
OENumber,OE Number,16 112 812 80,88.0,PEUGEOT,204,529 0322 10,Schaeffler INA,,,,,95550-5H300
OENumber,OE Number,1611281280,88.0,PEUGEOT,204,529 0322 10,Schaeffler INA,,,,,95550-5H300
OENumber,OE Number,16 112 812 80,21.0,CITROËN,50,VKMA 34708,SKF,,,,,95550-5H300
OENumber,OE Number,16 112 812 80,88.0,PEUGEOT,50,VKMA 34708,SKF,,,,,95550-5H300
OENumber,OE Number,83 22 5 A12 A00,16.0,BMW,101,39095,FEBI BILSTEIN,3069.0,Automatic Transmission Fluid,49102739.0,"['V', 'O']",83225A12A00
OENumber,OE Number,83 22 5 A12 A00,16.0,BMW,101,39096,FEBI BILSTEIN,3069.0,Automatic Transmission Fluid,49107179.0,"['V', 'O']",83225A12A00
OENumber,OE Number,83 22 5 A12 A00,16.0,BMW,101,39097,FEBI BILSTEIN,3069.0,Automatic Transmission Fluid,49107183.0,"['V', 'O']",83225A12A00
OENumber,OE Number,83 22 5 A12 A00,16.0,BMW,101,39098,FEBI BILSTEIN,3069.0,Automatic Transmission Fluid,49107188.0,"['V', 'O']",83225A12A00
OENumber,OE Number,83 22 5 A12 A00,16.0,BMW,162,V60-0264,VAICO,3069.0,Automatic Transmission Fluid,68047981.0,"['V', 'O']",83225A12A00
OENumber,OE Number,83 22 5 A12 A00,16.0,BMW,162,V60-0265,VAICO,3069.0,Automatic Transmission Fluid,68047967.0,"['V', 'O']",83225A12A00
OENumber,OE Number,83 22 5 A12 A00,16.0,BMW,162,V60-0266,VAICO,3069.0,Automatic Transmission Fluid,68047959.0,"['V', 'O']",83225A12A00
OENumber,OE Number,83 22 5 A12 A00,16.0,BMW,162,V60-0267,VAICO,3069.0,Automatic Transmission Fluid,68047969.0,"['V', 'O']",83225A12A00
OENumber,OE Number,83 22 5 A12 A00,16.0,BMW,162,V60-0268,VAICO,3069.0,Automatic Transmission Fluid,68047970.0,"['V', 'O']",83225A12A00
OENumber,OE Number,83 22 5 A12 A00,16.0,BMW,162,V60-0330,VAICO,3069.0,Automatic Transmission Fluid,273944133.0,"['V', 'O']",83225A12A00
OENumber,OE Number,83 22 5 A12 A00,16.0,BMW,162,V60-0442,VAICO,1667.0,Transmission Oil,1311271082.0,['U'],83225A12A00
OENumber,OE Number,83 22 5 A12 A00,16.0,BMW,162,V60-0443,VAICO,3069.0,Automatic Transmission Fluid,1156456028.0,"['V', 'O']",83225A12A00
OENumber,OE Number,83 22 5 A12 A00,16.0,BMW,162,V60-0444,VAICO,3069.0,Automatic Transmission Fluid,1163001361.0,"['V', 'O']",83225A12A00
OENumber,OE Number,83 22 5 A12 A00,16.0,BMW,162,V60-0447,VAICO,3069.0,Automatic Transmission Fluid,1163001362.0,"['V', 'O']",83225A12A00
OENumber,OE Number,83 22 5 A12 A00,16.0,BMW,162,V60-0448,VAICO,3069.0,Automatic Transmission Fluid,1163001363.0,"['V', 'O']",83225A12A00
