matchType,description,match,mfrId,mfrName,part_dataSupplierId,part_articleNumber,part_mfrName,genericArticleId,genericArticleDescription,legacyArticleId,OEM SKU
OENumber,OE Number,48802-60100,111,TOYOTA,350,ADT385112,BLUE PRINT,3510.0,"Mounting Kit, stabiliser link/coupling rod",162945677.0,48802-60100
OENumber,OE Number,48802-60100,842,LEXUS,350,ADT385112,BLUE PRINT,3229.0,"Link/Coupling Rod, stabiliser bar",117361957.0,48802-60100
OENumber,OE Number,4880260100,111,TOYOTA,475,BDL7365,BORG & BECK,3229.0,"Link/Coupling Rod, stabiliser bar",155540895.0,48802-60100
OENumber,OE Number,48802-60100,111,TOYOTA,4674,0123-GRJ200R,FEBEST,3510.0,"Mounting Kit, stabiliser link/coupling rod",160814761.0,48802-60100
OENumber,OE Number,48802-60100,111,TOYOTA,101,48216,FEBI BILSTEIN,3229.0,"Link/Coupling Rod, stabiliser bar",237991818.0,48802-60100
OENumber,OE Number,48802-60100,842,LEXUS,101,48216,FEBI BILSTEIN,3229.0,"Link/Coupling Rod, stabiliser bar",300074489.0,48802-60100
OENumber,OE Number,48802-60100,111,TOYOTA,133,52268,MAPCO,3229.0,"Link/Coupling Rod, stabiliser bar",833805415.0,48802-60100
OENumber,OE Number,4880260100,111,TOYOTA,134,TO-LS-14562,MOOG,,,,48802-60100
OENumber,OE Number,48802-60100,111,TOYOTA,129,G7-2034,OPTIMAL,,,,48802-60100
OENumber,OE Number,48802-60100,842,LEXUS,129,G7-2034,OPTIMAL,,,,48802-60100
OENumber,OE Number,48802-60100,111,TOYOTA,350,ADT385112,BLUE PRINT,3510.0,"Mounting Kit, stabiliser link/coupling rod",162945677.0,VAS35.00806
OENumber,OE Number,48802-60100,842,LEXUS,350,ADT385112,BLUE PRINT,3229.0,"Link/Coupling Rod, stabiliser bar",117361957.0,VAS35.00806
OENumber,OE Number,4880260100,111,TOYOTA,475,BDL7365,BORG & BECK,3229.0,"Link/Coupling Rod, stabiliser bar",155540895.0,VAS35.00806
OENumber,OE Number,48802-60100,111,TOYOTA,4674,0123-GRJ200R,FEBEST,3510.0,"Mounting Kit, stabiliser link/coupling rod",160814761.0,VAS35.00806
OENumber,OE Number,48802-60100,111,TOYOTA,101,48216,FEBI BILSTEIN,3229.0,"Link/Coupling Rod, stabiliser bar",237991818.0,VAS35.00806
OENumber,OE Number,48802-60100,842,LEXUS,101,48216,FEBI BILSTEIN,3229.0,"Link/Coupling Rod, stabiliser bar",300074489.0,VAS35.00806
OENumber,OE Number,48802-60100,111,TOYOTA,133,52268,MAPCO,3229.0,"Link/Coupling Rod, stabiliser bar",833805415.0,VAS35.00806
OENumber,OE Number,4880260100,111,TOYOTA,134,TO-LS-14562,MOOG,,,,VAS35.00806
OENumber,OE Number,48802-60100,111,TOYOTA,129,G7-2034,OPTIMAL,,,,VAS35.00806
OENumber,OE Number,48802-60100,842,LEXUS,129,G7-2034,OPTIMAL,,,,VAS35.00806
