matchType,description,match,mfrId,mfrName,part_dataSupplierId,part_articleNumber,part_mfrName,genericArticleId,genericArticleDescription,legacyArticleId,linkageTargetTypes,OEM SKU
OENumber,OE Number,11220-4BB0A,80,NISSAN,350,ADBP800137,BLUE PRINT,248.0,"Mounting, automatic transmission",1226465972.0,"['V', 'O']",11220-4BB0A
OENumber,OE Number,11 22 04B B0A,93,RENAULT,350,ADBP800137,BLUE PRINT,248.0,"Mounting, automatic transmission",1152434957.0,"['V', 'O']",11220-4BB0A
OENumber,OE Number,112204BB0A,139,DACIA,350,ADBP800137,BLUE PRINT,249.0,"Mounting, manual transmission",1152434958.0,"['V', 'O']",11220-4BB0A
OENumber,OE Number,112204BB0A,80,NISSAN,140,49469666,CORTECO,247.0,"Mounting, engine",1166132448.0,"['V', 'O', 'M']",11220-4BB0A
OENumber,OE Number,11 22 04B B0A,93,RENAULT,140,49469666,CORTECO,248.0,"Mounting, automatic transmission",1226013241.0,"['V', 'O']",11220-4BB0A
OENumber,OE Number,11220-4BB0A,80,NISSAN,4674,NM-F15ELH,FEBEST,247.0,"Mounting, engine",1398756386.0,"['V', 'O', 'M']",11220-4BB0A
OENumber,OE Number,11220-4BB0A,93,RENAULT,4674,NM-F15ELH,FEBEST,247.0,"Mounting, engine",634303280.0,"['V', 'O', 'M']",11220-4BB0A
OENumber,OE Number,11220-4BB0A,80,NISSAN,101,173542,FEBI BILSTEIN,247.0,"Mounting, engine",1239481143.0,"['V', 'O', 'M']",11220-4BB0A
OENumber,OE Number,11 22 04B B0A,93,RENAULT,101,173542,FEBI BILSTEIN,247.0,"Mounting, engine",1363014763.0,"['V', 'O', 'M']",11220-4BB0A
OENumber,OE Number,112204BB0A,139,DACIA,101,173542,FEBI BILSTEIN,,,,,11220-4BB0A
OENumber,OE Number,112204BB0A,80,NISSAN,198,1226660,OCAP,,,,,11220-4BB0A
OENumber,OE Number,112204BB0A,93,RENAULT,198,1226660,OCAP,,,,,11220-4BB0A
OENumber,OE Number,1122 04B B0A,80,NISSAN,301,634 458,TOPRAN,,,,,11220-4BB0A
OENumber,OE Number,1122 04B B0A,93,RENAULT,301,634 458,TOPRAN,,,,,11220-4BB0A
OENumber,OE Number,11220-4BB0A,80,NISSAN,108,8505 25119,TRISCAN,,,,,11220-4BB0A
OENumber,OE Number,1122 04B B0A,93,RENAULT,108,8505 25119,TRISCAN,,,,,11220-4BB0A
OENumber,OE Number,11 22 04B B0A,80,NISSAN,162,V21-0070,VAICO,,,,,11220-4BB0A
OENumber,OE Number,11 22 04B B0A,93,RENAULT,162,V21-0070,VAICO,,,,,11220-4BB0A
OENumber,OE Number,11 22 04B B0A,139,DACIA,162,V21-0070,VAICO,,,,,11220-4BB0A
OENumber,OE Number,18874 11080,183,HYUNDAI,30,0 242 129 524,BOSCH,686.0,Spark Plug,203325025.0,"['V', 'O', 'M']",54501-EB70A-SBK-SQ
OENumber,OE Number,18874 11080,184,KIA,30,0 242 129 524,BOSCH,,,,,54501-EB70A-SBK-SQ
OENumber,OE Number,18874 11080,183,HYUNDAI,30,0 242 129 524,BOSCH,686.0,Spark Plug,203325025.0,"['V', 'O', 'M']",18874-11080
OENumber,OE Number,18874 11080,184,KIA,30,0 242 129 524,BOSCH,,,,,18874-11080
OENumber,OE Number,67105,121,VW,4391,1623303880,EUROREPAR,854.0,Shock Absorber,407497165.0,"['V', 'O', 'A']",627044
OENumber,OE Number,67105,121,VW,37,23957,MONROE,854.0,Shock Absorber,18962661.0,"['V', 'O', 'A']",627044
OENumber,OE Number,67105,121,VW,4391,1623303880,EUROREPAR,854.0,Shock Absorber,407497165.0,"['V', 'O', 'A']",67105
OENumber,OE Number,67105,121,VW,37,23957,MONROE,854.0,Shock Absorber,18962661.0,"['V', 'O', 'A']",67105
OENumber,OE Number,A604 094 19 04,74,MERCEDES-BENZ,350,ADU172242,BLUE PRINT,8.0,Air Filter,406070775.0,"['V', 'O', 'M']",A6040941904
OENumber,OE Number,A6040941904,74,MERCEDES-BENZ,475,BFA2201,BORG & BECK,8.0,Air Filter,117400392.0,"['V', 'O', 'M']",A6040941904
OENumber,OE Number,A 604 094 19 04,74,MERCEDES-BENZ,30,1 457 433 751,BOSCH,8.0,Air Filter,1947605.0,"['V', 'O', 'M']",A6040941904
OENumber,OE Number,A 604 094 19 04,74,MERCEDES-BENZ,4872,FA1389,BREMSI,8.0,Air Filter,1129615088.0,"['V', 'O', 'M']",A6040941904
OENumber,OE Number,A6040941904,74,MERCEDES-BENZ,4434,28.0002-0423.2,CONTINENTAL,8.0,Air Filter,479152942.0,"['V', 'O', 'M']",A6040941904
OENumber,OE Number,A 604 094 19 04,74,MERCEDES-BENZ,4391,E147239,EUROREPAR,8.0,Air Filter,364692413.0,"['V', 'O', 'M']",A6040941904
OENumber,OE Number,A604 094 19 04,74,MERCEDES-BENZ,101,172253,FEBI BILSTEIN,8.0,Air Filter,754118103.0,"['V', 'O', 'M']",A6040941904
OENumber,OE Number,A 604 094 19 04,74,MERCEDES-BENZ,256,AP 118/5,FILTRON,8.0,Air Filter,84218959.0,"['V', 'O', 'M']",A6040941904
OENumber,OE Number,A604 094 19 04,74,MERCEDES-BENZ,81,E318L,HENGST FILTER,8.0,Air Filter,37920350.0,"['V', 'O', 'M']",A6040941904
OENumber,OE Number,A604 094 19 04,74,MERCEDES-BENZ,95,154096199410,MAGNETI MARELLI,8.0,Air Filter,42970601.0,"['V', 'O', 'M']",A6040941904
OENumber,OE Number,A604 094 19 04,74,MERCEDES-BENZ,287,LX 539,MAHLE,8.0,Air Filter,92849184.0,"['V', 'O', 'M']",A6040941904
OENumber,OE Number,A 604 094 19 04,74,MERCEDES-BENZ,4,C 24 106,MANN-FILTER,8.0,Air Filter,7304054.0,"['V', 'O', 'M']",A6040941904
OENumber,OE Number,A 604 094 19 04,74,MERCEDES-BENZ,144,012 094 0052,MEYLE,8.0,Air Filter,60143497.0,"['V', 'O', 'M']",A6040941904
OENumber,OE Number,A604 094 19 04,74,MERCEDES-BENZ,301,407 734,TOPRAN,8.0,Air Filter,95873154.0,"['V', 'O', 'M']",A6040941904
OENumber,OE Number,A 604 094 19 04,74,MERCEDES-BENZ,162,V30-1321,VAICO,8.0,Air Filter,67638322.0,"['V', 'O', 'M']",A6040941904
OENumber,OE Number,A 604 094 19 04,74,MERCEDES-BENZ,324,WA6589,WIX FILTERS,8.0,Air Filter,98456530.0,"['V', 'O', 'M']",A6040941904
OENumber,OE Number,67162,121,VW,37,G1236,MONROE,854.0,Shock Absorber,220729025.0,"['V', 'O', 'A']",67162
OENumber,OE Number,9031040001,111,TOYOTA,140,19018296B,CORTECO,656.0,"Shaft Seal, wheel hub",59169416.0,"['V', 'O', 'A']",90310-40001
OENumber,OE Number,261604BA0C,80,NISSAN,61,324-0179,TYC,50.0,Exterior Mirror,378642320.0,"['V', 'O']",26160-4BA0C
OENumber,OE Number,26160-4BA0C,80,NISSAN,61,324-0179,TYC,62.0,Direction Indicator,214600838.0,"['V', 'O']",26160-4BA0C
OENumber,OE Number,261604BA0C,80,NISSAN,61,324-0179-3,TYC,50.0,Exterior Mirror,378642466.0,"['V', 'O']",26160-4BA0C
OENumber,OE Number,26160-4BA0C,80,NISSAN,61,324-0179-3,TYC,,,,,26160-4BA0C
