matchType,description,match,mfrId,mfrName,part_dataSupplierId,part_articleNumber,part_mfrName,genericArticleId,genericArticleDescription,legacyArticleId,linkageTargetTypes,OEM SKU
OENumber,OE Number,22913602,753.0,GENERAL MOTORS,4401,CE0173,CTR,914.0,Tie Rod End,1127306196.0,"['V', 'O', 'A']",22913602
OENumber,OE Number,MR272203,20.0,CHRYSLER,4674,MM-EA8ATF,FEBEST,247.0,"Mounting, engine",155571735.0,"['V', 'O', 'M']",MR272203
OENumber,OE Number,MR272203,77.0,MITSUBISHI,4674,MM-EA8ATF,FEBEST,,,,,MR272203
OENumber,OE Number,A 274 070 35 00,74.0,MERCEDES-BENZ,162,V30-3860,VAICO,610.0,Fuel Line,1156238412.0,"['V', 'O']",A2740703500
OENumber,OE Number,5 0422 7724,55.0,IVECO,355,7.77171,DT Spare Parts,527.0,"Shock Absorber, driver cab suspension",385577750.0,"['V', 'O']",504227724
OENumber,OE Number,5 0422 7724,55.0,IVECO,101,102178,FEBI BILSTEIN,527.0,"Shock Absorber, driver cab suspension",300141320.0,"['V', 'O']",504227724
OENumber,OE Number,504227724,55.0,IVECO,37,CB0281,MONROE,527.0,"Shock Absorber, driver cab suspension",1237184072.0,"['V', 'O']",504227724
OENumber,OE Number,A 906 421 15 00,74.0,MERCEDES-BENZ,30,0 986 495 107,BOSCH,402.0,"Brake Pad Set, disc brake",1434737.0,"['V', 'O', 'A']",A9064211500
OENumber,OE Number,A9064211500,74.0,MERCEDES-BENZ,65,P 50 059,BREMBO,402.0,"Brake Pad Set, disc brake",30348665.0,"['V', 'O', 'A']",A9064211500
OENumber,OE Number,A9064211500,74.0,MERCEDES-BENZ,65,P50059N,BREMBO,402.0,"Brake Pad Set, disc brake",411019782.0,"['V', 'O', 'A']",A9064211500
OENumber,OE Number,9840 7341,55.0,IVECO,355,7.70062,DT Spare Parts,1193.0,Door Window,1421410609.0,"['V', 'O']",98407341
OENumber,OE Number,9840 7341,55.0,IVECO,355,7.70062SP,DT Spare Parts,1193.0,Door Window,1421410612.0,"['V', 'O']",98407341
OENumber,OE Number,1020530358,74.0,MERCEDES-BENZ,140,12012438,CORTECO,322.0,"Seal Ring, valve stem",59067614.0,"['V', 'O', 'M']",102 053 03 58
OENumber,OE Number,1020530358,74.0,MERCEDES-BENZ,140,12020255,CORTECO,322.0,"Seal Ring, valve stem",222071005.0,"['V', 'O', 'M']",102 053 03 58
OENumber,OE Number,1020530358,74.0,MERCEDES-BENZ,140,19025716,CORTECO,323.0,"Seal Set, valve stem",59188661.0,"['V', 'O', 'M']",102 053 03 58
OENumber,OE Number,1020530358,74.0,MERCEDES-BENZ,140,19025737,CORTECO,323.0,"Seal Set, valve stem",59189554.0,"['V', 'O', 'M']",102 053 03 58
OENumber,OE Number,1020530358,74.0,MERCEDES-BENZ,140,19031167,CORTECO,323.0,"Seal Set, valve stem",59213542.0,"['V', 'O', 'M']",102 053 03 58
OENumber,OE Number,1020530358,74.0,MERCEDES-BENZ,140,19036030,CORTECO,323.0,"Seal Set, valve stem",59246054.0,"['V', 'O', 'M']",102 053 03 58
OENumber,OE Number,1020530358,74.0,MERCEDES-BENZ,140,49472928,CORTECO,322.0,"Seal Ring, valve stem",1024190350.0,"['V', 'O', 'M']",102 053 03 58
OENumber,OE Number,102 053 0358,74.0,MERCEDES-BENZ,355,4.90947,DT Spare Parts,323.0,"Seal Set, valve stem",352270340.0,"['V', 'O', 'M']",102 053 03 58
OENumber,OE Number,102 053 03 58,74.0,MERCEDES-BENZ,10,310.751,ELRING,322.0,"Seal Ring, valve stem",9029725.0,"['V', 'O', 'M']",102 053 03 58
OENumber,OE Number,102 053 03 58,74.0,MERCEDES-BENZ,101,08837,FEBI BILSTEIN,322.0,"Seal Ring, valve stem",46123339.0,"['V', 'O', 'M']",102 053 03 58
OENumber,OE Number,102 053 03 58,74.0,MERCEDES-BENZ,101,08916,FEBI BILSTEIN,322.0,"Seal Ring, valve stem",46125887.0,"['V', 'O', 'M']",102 053 03 58
OENumber,OE Number,102 053 0358,74.0,MERCEDES-BENZ,209,02.12.009,TRUCKTEC AUTOMOTIVE,322.0,"Seal Ring, valve stem",76408743.0,"['V', 'O', 'M']",102 053 03 58
OENumber,OE Number,102 053 0358,74.0,MERCEDES-BENZ,209,02.43.151,TRUCKTEC AUTOMOTIVE,323.0,"Seal Set, valve stem",76411933.0,"['V', 'O', 'M']",102 053 03 58
OENumber,OE Number,102 053 03 58,74.0,MERCEDES-BENZ,9,70-25228-10,VICTOR REINZ,322.0,"Seal Ring, valve stem",8323900.0,"['V', 'O', 'M']",102 053 03 58
OENumber,OE Number,A2463301801,74.0,MERCEDES-BENZ,475,BDS1564,BORG & BECK,13.0,Drive Shaft,1390609787.0,"['V', 'O']",A2463301801
OENumber,OE Number,A2463301801,74.0,MERCEDES-BENZ,4674,1610-156,FEBEST,5.0,"Joint Kit, drive shaft",1151856469.0,"['V', 'O']",A2463301801
OENumber,OE Number,A2463301801,74.0,MERCEDES-BENZ,4674,1617P-164S,FEBEST,193.0,"Bellow, drive shaft",155559766.0,"['V', 'O']",A2463301801
OENumber,OE Number,A 246 330 18 01,74.0,MERCEDES-BENZ,108,8540 23549,TRISCAN,13.0,Drive Shaft,1353041544.0,"['V', 'O']",A2463301801
OENumber,OE Number,A 246 330 18 01,74.0,MERCEDES-BENZ,162,V30-4053,VAICO,13.0,Drive Shaft,1407476128.0,"['V', 'O']",A2463301801
OENumber,OE Number,A 246 330 18 01,74.0,MERCEDES-BENZ,162,V30-4320,VAICO,13.0,Drive Shaft,1407492074.0,"['V', 'O']",A2463301801
OENumber,OE Number,976062H010AS,184.0,KIA,89,CF20238,DELPHI,448.0,"Condenser, air conditioning",237523352.0,"['V', 'O']",97606-2H010AS
OENumber,OE Number,976062H010AS,183.0,HYUNDAI,66,DCN41013,DENSO,448.0,"Condenser, air conditioning",484651030.0,"['V', 'O']",97606-2H010AS
OENumber,OE Number,976062H010AS,184.0,KIA,4819,260406,HC-Cargo,448.0,"Condenser, air conditioning",140746845.0,"['V', 'O']",97606-2H010AS
OENumber,OE Number,97606-2H010AS,183.0,HYUNDAI,95,350203951000,MAGNETI MARELLI,448.0,"Condenser, air conditioning",629611466.0,"['V', 'O']",97606-2H010AS
OENumber,OE Number,97606-2H010AS,184.0,KIA,95,350203951000,MAGNETI MARELLI,448.0,"Condenser, air conditioning",460273108.0,"['V', 'O']",97606-2H010AS
OENumber,OE Number,97606-2H010AS,183.0,HYUNDAI,95,359003220910,MAGNETI MARELLI,448.0,"Condenser, air conditioning",617671365.0,"['V', 'O']",97606-2H010AS
OENumber,OE Number,97606-2H010AS,184.0,KIA,95,359003220910,MAGNETI MARELLI,448.0,"Condenser, air conditioning",53518588.0,"['V', 'O']",97606-2H010AS
OENumber,OE Number,97606-2H010AS,183.0,HYUNDAI,287,AC 442 000P,MAHLE,448.0,"Condenser, air conditioning",53546833.0,"['V', 'O']",97606-2H010AS
