matchType,description,match,mfrId,mfrName,part_dataSupplierId,part_articleNumber,part_mfrName,genericArticleId,genericArticleDescription,legacyArticleId,linkageTargetTypes,OEM SKU
OENumber,OE Number,A 230 350 28 06,74.0,MERCEDES-BENZ,14,88-514-A,BOGE,251.0,"Mounting, control/trailing arm",10632078.0,"['V', 'O', 'A']",A2303502806
OENumber,OE Number,A 230 350 28 06,3645.0,MERCEDES-BENZ (BBDC),14,88-514-A,BOGE,273.0,"Control/Trailing Arm, wheel suspension",117255220.0,"['V', 'O', 'A']",A2303502806
OENumber,OE Number,A 230 350 28 06,74.0,MERCEDES-BENZ,475,BCA6878,BORG & BECK,3230.0,"Rod/Strut, wheel suspension",40008788.0,"['V', 'O', 'A']",A2303502806
OENumber,OE Number,A2303502806,74.0,MERCEDES-BENZ,475,BCA6878,BORG & BECK,251.0,"Mounting, control/trailing arm",155566590.0,"['V', 'O', 'A']",A2303502806
OENumber,OE Number,A230 350 2806,74.0,MERCEDES-BENZ,89,TC1950,DELPHI,251.0,"Mounting, control/trailing arm",155566828.0,"['V', 'O', 'A']",A2303502806
OENumber,OE Number,A2303502806,74.0,MERCEDES-BENZ,4674,BZAB-032,FEBEST,1597.0,"Mounting and Bolting Kit, control/trailing arm",47335363.0,"['V', 'O']",A2303502806
OENumber,OE Number,A2303502806,74.0,MERCEDES-BENZ,4674,CRAB-033,FEBEST,273.0,"Control/Trailing Arm, wheel suspension",47388049.0,"['V', 'O', 'A']",A2303502806
OENumber,OE Number,A230 350 28 06,74.0,MERCEDES-BENZ,101,23507,FEBI BILSTEIN,251.0,"Mounting, control/trailing arm",48457739.0,"['V', 'O', 'A']",A2303502806
OENumber,OE Number,A230 350 28 06,74.0,MERCEDES-BENZ,101,23963,FEBI BILSTEIN,251.0,"Mounting, control/trailing arm",48460308.0,"['V', 'O', 'A']",A2303502806
OENumber,OE Number,A230 350 28 06,74.0,MERCEDES-BENZ,101,34501,FEBI BILSTEIN,273.0,"Control/Trailing Arm, wheel suspension",49412472.0,"['V', 'O', 'A']",A2303502806
OENumber,OE Number,A230 350 28 06,74.0,MERCEDES-BENZ,101,34570,FEBI BILSTEIN,251.0,"Mounting, control/trailing arm",17908759.0,"['V', 'O', 'A']",A2303502806
OENumber,OE Number,A230 350 28 06,74.0,MERCEDES-BENZ,101,44873,FEBI BILSTEIN,3230.0,"Rod/Strut, wheel suspension",17935965.0,"['V', 'O', 'A']",A2303502806
OENumber,OE Number,A 230 350 28 06,74.0,MERCEDES-BENZ,35,29726 01,LEMFÖRDER,3230.0,"Rod/Strut, wheel suspension",56442834.0,"['V', 'O', 'A']",A2303502806
OENumber,OE Number,A 230 350 28 06,3645.0,MERCEDES-BENZ (BBDC),35,29726 01,LEMFÖRDER,3230.0,"Rod/Strut, wheel suspension",60264146.0,"['V', 'O', 'A']",A2303502806
OENumber,OE Number,A 230 350 28 06,74.0,MERCEDES-BENZ,35,30432 01,LEMFÖRDER,1617.0,"Mounting, axle strut",60264820.0,"['V', 'O', 'A']",A2303502806
OENumber,OE Number,A 230 350 28 06,3645.0,MERCEDES-BENZ (BBDC),35,30432 01,LEMFÖRDER,1617.0,"Mounting, axle strut",60264954.0,"['V', 'O', 'A']",A2303502806
OENumber,OE Number,A 230 350 2806,74.0,MERCEDES-BENZ,133,51857,MAPCO,3230.0,"Rod/Strut, wheel suspension",509984027.0,"['V', 'O', 'A']",A2303502806
OENumber,OE Number,A 230 350 28 06,74.0,MERCEDES-BENZ,144,016 035 0011,MEYLE,273.0,"Control/Trailing Arm, wheel suspension",162711263.0,"['V', 'O', 'A']",A2303502806
OENumber,OE Number,A 230 350 28 06,3645.0,MERCEDES-BENZ (BBDC),144,016 035 0011,MEYLE,273.0,"Control/Trailing Arm, wheel suspension",50618785.0,"['V', 'O', 'A']",A2303502806
OENumber,OE Number,A 230 350 28 06,74.0,MERCEDES-BENZ,144,016 035 0023,MEYLE,273.0,"Control/Trailing Arm, wheel suspension",76410526.0,"['V', 'O', 'A']",A2303502806
OENumber,OE Number,A 230 350 28 06,74.0,MERCEDES-BENZ,144,016 035 0024,MEYLE,273.0,"Control/Trailing Arm, wheel suspension",66566131.0,"['V', 'O', 'A']",A2303502806
OENumber,OE Number,A 230 350 28 06,74.0,MERCEDES-BENZ,192,821 0923 10,Schaeffler FAG,3230.0,"Rod/Strut, wheel suspension",67705007.0,"['V', 'O', 'A']",A2303502806
OENumber,OE Number,A2303502806,74.0,MERCEDES-BENZ,192,821 0923 10,Schaeffler FAG,2905.0,"Control/Trailing Arm Kit, wheel suspension",309668738.0,"['V', 'O']",A2303502806
OENumber,OE Number,A230 350 28 06,74.0,MERCEDES-BENZ,301,401 079,TOPRAN,,,,,A2303502806
OENumber,OE Number,A 230 350 28 06,74.0,MERCEDES-BENZ,108,8500 23637,TRISCAN,,,,,A2303502806
OENumber,OE Number,A230 350 2806,74.0,MERCEDES-BENZ,209,02.32.052,TRUCKTEC AUTOMOTIVE,,,,,A2303502806
OENumber,OE Number,A 230 350 28 06,74.0,MERCEDES-BENZ,161,JTC1460,TRW,,,,,A2303502806
OENumber,OE Number,A 230 350 28 06,74.0,MERCEDES-BENZ,162,V30-7345,VAICO,,,,,A2303502806
OENumber,OE Number,A 230 350 28 06,74.0,MERCEDES-BENZ,162,V30-7630-1,VAICO,,,,,A2303502806
OENumber,OE Number,A2115001693,74.0,MERCEDES-BENZ,6430,2711729,Autostar Germany,508.0,"Fan, engine cooling",1441276066.0,"['V', 'O', 'M']",A2115001693
OENumber,OE Number,A2115001693,74.0,MERCEDES-BENZ,6430,273444,Autostar Germany,2669.0,Interior Blower,1417308151.0,"['V', 'O']",A2115001693
OENumber,OE Number,A2115001693,74.0,MERCEDES-BENZ,61,821-0011,TYC,508.0,"Fan, engine cooling",264532141.0,"['V', 'O', 'M']",A2115001693
OENumber,OE Number,299 7221,55.0,IVECO,355,7.11010,DT Spare Parts,645.0,"Bushing, leaf spring",101952647.0,"['V', 'O', 'A']",2997221
OENumber,OE Number,2997221,55.0,IVECO,95,030607020576,MAGNETI MARELLI,533.0,"Holder, engine mounting system",484862935.0,"['V', 'O', 'M']",2997221
OENumber,OE Number,2997221,55.0,IVECO,95,030607020578,MAGNETI MARELLI,533.0,"Holder, engine mounting system",484863509.0,"['V', 'O', 'M']",2997221
OENumber,OE Number,2997221,55.0,IVECO,50,VKDCV 01025,SKF,645.0,"Bushing, leaf spring",1174089239.0,"['V', 'O', 'A']",2997221
OENumber,OE Number,4254 7017,55.0,IVECO,355,7.96007,DT Spare Parts,4066.0,"Repair Kit, tilt cylinder",259502662.0,['O'],42547017
OENumber,OE Number,A 099 906 39 02,74.0,MERCEDES-BENZ,6430,273385,Autostar Germany,2092.0,"Fan Wheel, engine cooling",1417300935.0,"['V', 'O']",A0999063902
OENumber,OE Number,A 099 906 39 02,74.0,MERCEDES-BENZ,6430,278898,Autostar Germany,792.0,"Electric Motor, radiator fan",1441275702.0,"['V', 'O']",A0999063902
OENumber,OE Number,A 099 906 39 02,74.0,MERCEDES-BENZ,30,0 130 707 548,BOSCH,792.0,"Electric Motor, radiator fan",860665270.0,"['V', 'O']",A0999063902
OENumber,OE Number,A 207 320 44 30,74.0,MERCEDES-BENZ,16,20-255831,BILSTEIN,854.0,Shock Absorber,599610530.0,"['V', 'O', 'A']",A2073204430
OENumber,OE Number,A207 320 44 30,74.0,MERCEDES-BENZ,101,36477,FEBI BILSTEIN,1180.0,Suspension Strut Support Mount,48810008.0,"['V', 'O']",A2073204430
OENumber,OE Number,A 207 320 44 30,74.0,MERCEDES-BENZ,162,V30-1867,VAICO,1180.0,Suspension Strut Support Mount,67656863.0,"['V', 'O']",A2073204430
OENumber,OE Number,641077,84.0,OPEL,140,554002B,CORTECO,1269.0,Intake Valve,59482664.0,"['V', 'O', 'M']",451069
OENumber,OE Number,6 41 077,84.0,OPEL,301,207 303,TOPRAN,1269.0,Intake Valve,95715853.0,"['V', 'O', 'M']",451069
OENumber,OE Number,6 41 077,84.0,OPEL,347,291111,TRW Engine Component,1269.0,Intake Valve,101086304.0,"['V', 'O', 'M']",451069
OENumber,OE Number,641077,84.0,OPEL,140,554002B,CORTECO,1269.0,Intake Valve,59482664.0,"['V', 'O', 'M']",641077
OENumber,OE Number,6 41 077,84.0,OPEL,301,207 303,TOPRAN,1269.0,Intake Valve,95715853.0,"['V', 'O', 'M']",641077
OENumber,OE Number,6 41 077,84.0,OPEL,347,291111,TRW Engine Component,1269.0,Intake Valve,101086304.0,"['V', 'O', 'M']",641077
OENumber,OE Number,6 41 094,84.0,OPEL,101,28632,FEBI BILSTEIN,1269.0,Intake Valve,47851007.0,"['V', 'O', 'M']",641094
OENumber,OE Number,641094,84.0,OPEL,287,011 VE 30538 000,MAHLE,1269.0,Intake Valve,92339848.0,"['V', 'O', 'M']",641094
OENumber,OE Number,6 41 094,84.0,OPEL,301,205 574,TOPRAN,1269.0,Intake Valve,95664114.0,"['V', 'O', 'M']",641094
OENumber,OE Number,6 41 094,84.0,OPEL,347,29455,TRW Engine Component,1269.0,Intake Valve,101088693.0,"['V', 'O', 'M']",641094
OENumber,OE Number,641075,84.0,OPEL,287,011 VE 31148 000,MAHLE,1269.0,Intake Valve,92340343.0,"['V', 'O', 'M']",641075
OENumber,OE Number,6 41 075,84.0,OPEL,347,291113,TRW Engine Component,1269.0,Intake Valve,101086293.0,"['V', 'O', 'M']",641075
OENumber,OE Number,36100 04300,183.0,HYUNDAI,30,F 002 GC0 050,BOSCH,2.0,Starter,412428033.0,"['V', 'O', 'M']",36100-04300
OENumber,OE Number,36100-04300,184.0,KIA,4819,116260,HC-Cargo,2.0,Starter,321117289.0,"['V', 'O', 'M']",36100-04300
OENumber,OE Number,36100-04300,184.0,KIA,4501,LRS03899,LUCAS,2.0,Starter,467921363.0,"['V', 'O', 'M']",36100-04300
OENumber,OE Number,641015,84.0,OPEL,140,551083B,CORTECO,1269.0,Intake Valve,59473314.0,"['V', 'O', 'M']",641015
OENumber,OE Number,6 41 015,84.0,OPEL,101,17384,FEBI BILSTEIN,1269.0,Intake Valve,46747239.0,"['V', 'O', 'M']",641015
OENumber,OE Number,641 015,84.0,OPEL,287,011 VE 30822 000,MAHLE,1269.0,Intake Valve,92339930.0,"['V', 'O', 'M']",641015
OENumber,OE Number,40 20 697 41R,139.0,DACIA,350,ADR164302,BLUE PRINT,82.0,Brake Disc,101492282.0,"['V', 'O', 'A']",402069741R
OENumber,OE Number,402069741R,139.0,DACIA,475,BBD4640,BORG & BECK,82.0,Brake Disc,116968742.0,"['V', 'O', 'A']",402069741R
OENumber,OE Number,40 20 697 41R,93.0,RENAULT,30,0 986 479 553,BOSCH,82.0,Brake Disc,1296949.0,"['V', 'O', 'A']",402069741R
