matchType,description,match,mfrId,mfrName,part_dataSupplierId,part_articleNumber,part_mfrName,genericArticleId,genericArticleDescription,legacyArticleId,OEM SKU
OENumber,OE Number,1136000118,2590,GEELY,475,BFO4016,BORG & BECK,7.0,Oil Filter,117427553.0,BZS35.00816
OENumber,OE Number,1136000118,2590,GEELY,256,OP 572,FILTRON,7.0,Oil Filter,84277527.0,BZS35.00816
OENumber,OE Number,1136000118,2590,GEELY,81,H97W07,HENGST FILTER,7.0,Oil Filter,38069215.0,BZS35.00816
OENumber,OE Number,1136000118,2590,GEELY,4501,LFOS124,LUCAS,7.0,Oil Filter,1315939119.0,BZS35.00816
OENumber,OE Number,1136000118,2590,GEELY,4,W 68/1,MANN-FILTER,7.0,Oil Filter,7530155.0,BZS35.00816
OENumber,OE Number,1136000118,2590,GEELY,4,W 68/3,MANN-FILTER,7.0,Oil Filter,7530210.0,BZS35.00816
OENumber,OE Number,1136000118,2590,GEELY,324,51394,WIX FILTERS,7.0,Oil Filter,98419409.0,BZS35.00816
OENumber,OE Number,1136000118,2590,GEELY,324,WL7131,WIX FILTERS,7.0,Oil Filter,98490385.0,BZS35.00816
OENumber,OE Number,1136000118,2590,GEELY,475,BFO4016,BORG & BECK,7.0,Oil Filter,117427553.0,1136000118
OENumber,OE Number,1136000118,2590,GEELY,256,OP 572,FILTRON,7.0,Oil Filter,84277527.0,1136000118
OENumber,OE Number,1136000118,2590,GEELY,81,H97W07,HENGST FILTER,7.0,Oil Filter,38069215.0,1136000118
OENumber,OE Number,1136000118,2590,GEELY,4501,LFOS124,LUCAS,7.0,Oil Filter,1315939119.0,1136000118
OENumber,OE Number,1136000118,2590,GEELY,4,W 68/1,MANN-FILTER,7.0,Oil Filter,7530155.0,1136000118
OENumber,OE Number,1136000118,2590,GEELY,4,W 68/3,MANN-FILTER,7.0,Oil Filter,7530210.0,1136000118
OENumber,OE Number,1136000118,2590,GEELY,324,51394,WIX FILTERS,7.0,Oil Filter,98419409.0,1136000118
OENumber,OE Number,1136000118,2590,GEELY,324,WL7131,WIX FILTERS,7.0,Oil Filter,98490385.0,1136000118
OENumber,OE Number,22761221,138,CHEVROLET,4401,CL0038,CTR,3229.0,"Link/Coupling Rod, stabiliser bar",1339066081.0,22761221
OENumber,OE Number,11400-69843,109,SUZUKI,10,888.630,ELRING,319.0,"Gasket Kit, cylinder head",582633875.0,11400-69843
OENumber,OE Number,38327,58,KÄLBLE,30,1 457 431 158,BOSCH,9.0,Fuel Filter,1932001.0,38327
OENumber,OE Number,383 27,971,KAELBLE,256,PW 813,FILTRON,9.0,Fuel Filter,84312051.0,38327
OENumber,OE Number,38 327,971,KAELBLE,81,E5KFR,HENGST FILTER,9.0,Fuel Filter,37953363.0,38327
OENumber,OE Number,383 27,971,KAELBLE,81,E5KFR2,HENGST FILTER,9.0,Fuel Filter,37953475.0,38327
OENumber,OE Number,38327,971,KAELBLE,4501,LFDE310,LUCAS,9.0,Fuel Filter,1315901526.0,38327
OENumber,OE Number,38327,971,KAELBLE,95,154078114090,MAGNETI MARELLI,9.0,Fuel Filter,42943178.0,38327
OENumber,OE Number,38327,58,KÄLBLE,287,KX 43,MAHLE,9.0,Fuel Filter,92761605.0,38327
OENumber,OE Number,38327,971,KAELBLE,287,KX 43,MAHLE,9.0,Fuel Filter,7290448.0,38327
OENumber,OE Number,383 27,971,KAELBLE,4,BFU 707,MANN-FILTER,9.0,Fuel Filter,98408522.0,38327
OENumber,OE Number,383 27,971,KAELBLE,324,33167FE,WIX FILTERS,9.0,Fuel Filter,98476527.0,38327
OENumber,OE Number,383 27,971,KAELBLE,324,WF8155,WIX FILTERS,,,,38327
OENumber,OE Number,38327,58,KÄLBLE,30,1 457 431 158,BOSCH,9.0,Fuel Filter,1932001.0,BMS13.00085
OENumber,OE Number,383 27,971,KAELBLE,256,PW 813,FILTRON,9.0,Fuel Filter,84312051.0,BMS13.00085
OENumber,OE Number,38 327,971,KAELBLE,81,E5KFR,HENGST FILTER,9.0,Fuel Filter,37953363.0,BMS13.00085
OENumber,OE Number,383 27,971,KAELBLE,81,E5KFR2,HENGST FILTER,9.0,Fuel Filter,37953475.0,BMS13.00085
OENumber,OE Number,38327,971,KAELBLE,4501,LFDE310,LUCAS,9.0,Fuel Filter,1315901526.0,BMS13.00085
OENumber,OE Number,38327,971,KAELBLE,95,154078114090,MAGNETI MARELLI,9.0,Fuel Filter,42943178.0,BMS13.00085
OENumber,OE Number,38327,58,KÄLBLE,287,KX 43,MAHLE,9.0,Fuel Filter,92761605.0,BMS13.00085
OENumber,OE Number,38327,971,KAELBLE,287,KX 43,MAHLE,9.0,Fuel Filter,7290448.0,BMS13.00085
OENumber,OE Number,383 27,971,KAELBLE,4,BFU 707,MANN-FILTER,9.0,Fuel Filter,98408522.0,BMS13.00085
OENumber,OE Number,383 27,971,KAELBLE,324,33167FE,WIX FILTERS,9.0,Fuel Filter,98476527.0,BMS13.00085
OENumber,OE Number,383 27,971,KAELBLE,324,WF8155,WIX FILTERS,,,,BMS13.00085
OENumber,OE Number,55259565,35,FIAT,221,19377699,ACDelco,686.0,Spark Plug,1094195470.0,JRS99.00030
OENumber,OE Number,55259 565,20,CHRYSLER,30,0 242 135 563,BOSCH,686.0,Spark Plug,229807913.0,JRS99.00030
OENumber,OE Number,55259565,35,FIAT,30,0 242 135 563,BOSCH,686.0,Spark Plug,849583242.0,JRS99.00030
OENumber,OE Number,55259 565,882,JEEP,30,0 242 135 563,BOSCH,,,,JRS99.00030
OENumber,OE Number,55259565,20,CHRYSLER,15,95536,NGK,,,,JRS99.00030
OENumber,OE Number,55259565,35,FIAT,15,95536,NGK,,,,JRS99.00030
OENumber,OE Number,55259565,35,FIAT,221,19377699,ACDelco,686.0,Spark Plug,1094195470.0,55259565
OENumber,OE Number,55259 565,20,CHRYSLER,30,0 242 135 563,BOSCH,686.0,Spark Plug,229807913.0,55259565
OENumber,OE Number,55259565,35,FIAT,30,0 242 135 563,BOSCH,686.0,Spark Plug,849583242.0,55259565
OENumber,OE Number,55259 565,882,JEEP,30,0 242 135 563,BOSCH,,,,55259565
OENumber,OE Number,55259565,20,CHRYSLER,15,95536,NGK,,,,55259565
OENumber,OE Number,55259565,35,FIAT,15,95536,NGK,,,,55259565
OENumber,OE Number,12275,1528,ONAN,95,154020125570,MAGNETI MARELLI,7.0,Oil Filter,42868569.0,12275
OENumber,OE Number,12275,1528,ONAN,287,OX 85D,MAHLE,7.0,Oil Filter,92922991.0,12275
OENumber,OE Number,4048046400,2590,GEELY,65,P 26 002,BREMBO,402.0,"Brake Pad Set, disc brake",1223338978.0,4048046400
OENumber,OE Number,4048046400,2590,GEELY,65,P26002N,BREMBO,402.0,"Brake Pad Set, disc brake",1180295581.0,4048046400
OENumber,OE Number,54610-2E100,183,HYUNDAI,350,ADG080257,BLUE PRINT,1180.0,Suspension Strut Support Mount,259467662.0,54610-2E100
OENumber,OE Number,54610-2E100,184,KIA,350,ADG080257,BLUE PRINT,1180.0,Suspension Strut Support Mount,10647377.0,54610-2E100
OENumber,OE Number,54610-2E100,183,HYUNDAI,14,88-994-A,BOGE,1180.0,Suspension Strut Support Mount,152984041.0,54610-2E100
OENumber,OE Number,54610-2E100,184,KIA,14,88-994-A,BOGE,1180.0,Suspension Strut Support Mount,1127384300.0,54610-2E100
OENumber,OE Number,546102E100,183,HYUNDAI,475,BSM5243,BORG & BECK,1180.0,Suspension Strut Support Mount,436441512.0,54610-2E100
OENumber,OE Number,54610-2E100,183,HYUNDAI,4401,GA0010,CTR,1632.0,"Repair Kit, suspension strut support mount",38342218.0,54610-2E100
OENumber,OE Number,54610-2E100,183,HYUNDAI,101,104893,FEBI BILSTEIN,1180.0,Suspension Strut Support Mount,18045381.0,54610-2E100
OENumber,OE Number,54610-2E100,184,KIA,101,104893,FEBI BILSTEIN,1180.0,Suspension Strut Support Mount,537785181.0,54610-2E100
