matchType,description,match,mfrId,mfrName,part_dataSupplierId,part_articleNumber,part_mfrName,genericArticleId,genericArticleDescription,legacyArticleId,linkageTargetTypes,OEM SKU
OENumber,OE Number,51360-TLA-A71,45,HONDA,4674,0324-RWRH,FEBEST,273.0,"Control/Trailing Arm, wheel suspension",1320579206.0,"['V', 'O', 'A']",51360-TLA-A71
OENumber,OE Number,51360-TLA-A71,45,HONDA,4674,0324-RWRH,FEBEST,273.0,"Control/Trailing Arm, wheel suspension",1320579206.0,"['V', 'O', 'A']",3340158-SBK-JX
OENumber,OE Number,48331-48020,111,TOYOTA,4674,TD-ACU30F,FEBEST,1182.0,"Rubber Buffer, suspension",481087249.0,"['V', 'O', 'A']",48331-48020
OENumber,OE Number,4833148020,111,TOYOTA,85,910166,KYB,919.0,"Dust Cover Kit, shock absorber",38286358.0,"['V', 'O']",48331-48020
OENumber,OE Number,4833148020,842,LEXUS,85,910166,KYB,919.0,"Dust Cover Kit, shock absorber",1132621152.0,"['V', 'O']",48331-48020
OENumber,OE Number,4833148020,111,TOYOTA,198,8500238,OCAP,919.0,"Dust Cover Kit, shock absorber",1240481407.0,"['V', 'O']",48331-48020
OENumber,OE Number,4833148020,111,TOYOTA,50,VKDP 83116 T,SKF,,,,,48331-48020
OENumber,OE Number,MN110644,77,MITSUBISHI,10,090.680,ELRING,138.0,"Gasket, exhaust pipe",1221214525.0,"['V', 'O', 'M']",48331-48020
OENumber,OE Number,MN110644,77,MITSUBISHI,4391,E128C20,EUROREPAR,138.0,"Gasket, exhaust pipe",442874843.0,"['V', 'O', 'M']",48331-48020
OENumber,OE Number,MN110644,77,MITSUBISHI,10,090.680,ELRING,138.0,"Gasket, exhaust pipe",1221214525.0,"['V', 'O', 'M']",MN110644
OENumber,OE Number,MN110644,77,MITSUBISHI,4391,E128C20,EUROREPAR,138.0,"Gasket, exhaust pipe",442874843.0,"['V', 'O', 'M']",MN110644
OENumber,OE Number,480-1012010,2887,CHERY,350,ADG02155,BLUE PRINT,7.0,Oil Filter,101304030.0,"['V', 'O', 'M']",4801012010
