matchType,description,match,mfrId,mfrName,part_dataSupplierId,part_articleNumber,part_mfrName,genericArticleId,genericArticleDescription,legacyArticleId,OEM SKU
OENumber,OE Number,2992242,55,IVECO,475,BFO32982,BORG & BECK,7.0,Oil Filter,364232589.0,2992242
OENumber,OE Number,2992242,55,IVECO,30,F 026 407 101,BOSCH,7.0,Oil Filter,3495837.0,2992242
OENumber,OE Number,2992242,2115,IRISBUS,30,F 026 407 101,BOSCH,7.0,Oil Filter,3497156.0,2992242
OENumber,OE Number,2992242,55,IVECO,30,F 026 407 129,BOSCH,7.0,Oil Filter,1233149623.0,2992242
OENumber,OE Number,2992242,2115,IRISBUS,30,F 026 407 129,BOSCH,7.0,Oil Filter,101949388.0,2992242
OENumber,OE Number,2992242,35,FIAT,4872,FL1430,BREMSI,7.0,Oil Filter,48632602.0,2992242
OENumber,OE Number,299 2242,35,FIAT,355,5.45116,DT Spare Parts,7.0,Oil Filter,84283527.0,2992242
OENumber,OE Number,2992242,35,FIAT,355,5.45116,DT Spare Parts,7.0,Oil Filter,38023255.0,2992242
OENumber,OE Number,2992242,55,IVECO,355,5.45116,DT Spare Parts,536.0,"Filter, operating hydraulics",1343517380.0,2992242
OENumber,OE Number,299 2242,55,IVECO,355,5.45116,DT Spare Parts,7.0,Oil Filter,42843171.0,2992242
OENumber,OE Number,2992242,661,CASE IH,101,35395,FEBI BILSTEIN,7.0,Oil Filter,43049228.0,2992242
OENumber,OE Number,299 2242,55,IVECO,256,OP 626/6,FILTRON,7.0,Oil Filter,92891818.0,2992242
OENumber,OE Number,299 2242,55,IVECO,81,H19W10,HENGST FILTER,7.0,Oil Filter,881627012.0,2992242
OENumber,OE Number,2992242,55,IVECO,81,H19W10,HENGST FILTER,7.0,Oil Filter,881630608.0,2992242
OENumber,OE Number,2992242,55,IVECO,95,153071760546,MAGNETI MARELLI,7.0,Oil Filter,7552979.0,2992242
OENumber,OE Number,2992242,55,IVECO,95,154768322240,MAGNETI MARELLI,7.0,Oil Filter,98428109.0,2992242
OENumber,OE Number,2992242,55,IVECO,287,OC 502,MAHLE,,,,2992242
OENumber,OE Number,2992242,716,CUMMINS,287,OC 502,MAHLE,,,,2992242
OENumber,OE Number,299 2242,55,IVECO,4008,MMF045330,MANDO,,,,2992242
OENumber,OE Number,2992242,55,IVECO,4008,MMF045353,MANDO,,,,2992242
OENumber,OE Number,299 2242,55,IVECO,4,W 950/26,MANN-FILTER,,,,2992242
OENumber,OE Number,299 2242,55,IVECO,324,92095E,WIX FILTERS,,,,2992242
OENumber,OE Number,206958H32D,80,NISSAN,4391,1688285680,EUROREPAR,204.0,"Seal Ring, exhaust pipe",1187205578.0,20695-8H32D
OENumber,OE Number,7H5411313A,5,AUDI,475,BSK7057K,BORG & BECK,2067.0,"Repair Kit, stabiliser coupling rod",152956384.0,7H5411313A
OENumber,OE Number,7H5411313A,104,SEAT,475,BSK7057K,BORG & BECK,1334.0,"Mounting, stabiliser bar",147786080.0,7H5411313A
OENumber,OE Number,7H5411313A,106,SKODA,475,BSK7057K,BORG & BECK,1334.0,"Mounting, stabiliser bar",1339145385.0,7H5411313A
OENumber,OE Number,7H5411313A,121,VW,475,BSK7057K,BORG & BECK,1334.0,"Mounting, stabiliser bar",160672170.0,7H5411313A
OENumber,OE Number,7H5 411 313 A,253,VAG,475,BSK7057K,BORG & BECK,251.0,"Mounting, control/trailing arm",918408801.0,7H5411313A
