matchType,description,match,mfrId,mfrName,part_dataSupplierId,part_articleNumber,part_mfrName,genericArticleId,genericArticleDescription,legacyArticleId,OEM SKU
OENumber,OE Number,41060-VC291,80.0,NISSAN,350,ADN14287,BLUE PRINT,402.0,"Brake Pad Set, disc brake",101455053.0,41060-VC291
OENumber,OE Number,41060VC291,80.0,NISSAN,475,BBP1866,BORG & BECK,402.0,"Brake Pad Set, disc brake",117124420.0,41060-VC291
OENumber,OE Number,41060 VC291,80.0,NISSAN,30,0 986 494 150,BOSCH,402.0,"Brake Pad Set, disc brake",1409171.0,41060-VC291
OENumber,OE Number,41060 VC291,80.0,NISSAN,30,0 986 494 560,BOSCH,402.0,"Brake Pad Set, disc brake",1422332.0,41060-VC291
OENumber,OE Number,41060VC291,80.0,NISSAN,65,P 56 041,BREMBO,402.0,"Brake Pad Set, disc brake",30353523.0,41060-VC291
OENumber,OE Number,41060VC291,80.0,NISSAN,65,P56041N,BREMBO,402.0,"Brake Pad Set, disc brake",411024543.0,41060-VC291
OENumber,OE Number,41060-VC291,80.0,NISSAN,4872,BP3007,BREMSI,402.0,"Brake Pad Set, disc brake",157868033.0,41060-VC291
OENumber,OE Number,41060VC291,80.0,NISSAN,89,LP1305,DELPHI,402.0,"Brake Pad Set, disc brake",39703646.0,41060-VC291
OENumber,OE Number,41060VC291,80.0,NISSAN,4391,1623059180,EUROREPAR,402.0,"Brake Pad Set, disc brake",364595707.0,41060-VC291
OENumber,OE Number,41060-VC291,80.0,NISSAN,101,116377,FEBI BILSTEIN,402.0,"Brake Pad Set, disc brake",602743500.0,41060-VC291
OENumber,OE Number,41060VC291,80.0,NISSAN,2,8DB 355 010-511,HELLA,402.0,"Brake Pad Set, disc brake",5242629.0,41060-VC291
OENumber,OE Number,41060VC291,80.0,NISSAN,2,8DB 355 027-771,HELLA,402.0,"Brake Pad Set, disc brake",235707603.0,41060-VC291
OENumber,OE Number,41060VC291,80.0,NISSAN,4625,8DB 355 010-511,HELLA PAGID,402.0,"Brake Pad Set, disc brake",132578507.0,41060-VC291
OENumber,OE Number,41060VC291,80.0,NISSAN,4625,8DB 355 027-771,HELLA PAGID,402.0,"Brake Pad Set, disc brake",245664558.0,41060-VC291
OENumber,OE Number,41060-VC291,80.0,NISSAN,158,181448,ICER,402.0,"Brake Pad Set, disc brake",65288198.0,41060-VC291
OENumber,OE Number,41060VC291,80.0,NISSAN,95,363700456041,MAGNETI MARELLI,402.0,"Brake Pad Set, disc brake",347404872.0,41060-VC291
OENumber,OE Number,41060VC291,168.0,RELIANCE,95,363700456041,MAGNETI MARELLI,402.0,"Brake Pad Set, disc brake",60310447.0,41060-VC291
OENumber,OE Number,41060-VC291,80.0,NISSAN,144,025 236 1118/W,MEYLE,402.0,"Brake Pad Set, disc brake",33954993.0,41060-VC291
OENumber,OE Number,41060VC291,80.0,NISSAN,73,MDB1902,MINTEX,402.0,"Brake Pad Set, disc brake",828085968.0,41060-VC291
OENumber,OE Number,41060VC291,80.0,NISSAN,4990,NP2026SC,NISSHINBO,402.0,"Brake Pad Set, disc brake",19657675.0,41060-VC291
