matchType,description,match,mfrId,mfrName,part_dataSupplierId,part_articleNumber,part_mfrName,genericArticleId,genericArticleDescription,legacyArticleId,OEM SKU
OENumber,OE Number,24466,21,CITROËN,4391,1675989780,EUROREPAR,402.0,"Brake Pad Set, disc brake",809528747.0,1986AE0045
OENumber,OE Number,170693,21,CITROËN,4391,1612915180,EUROREPAR,429.0,Catalytic Converter,442709215.0,0242140515000
OENumber,OE Number,170693,88,PEUGEOT,4391,1612915180,EUROREPAR,,,,0242140515000
OENumber,OE Number,170693,804,CITROËN/PEUGEOT,4391,1612915180,EUROREPAR,,,,0242140515000
OENumber,OE Number,170693,4468,DS,4391,1612915180,EUROREPAR,,,,0242140515000
OENumber,OE Number,24466,21,CITROËN,4391,1675989780,EUROREPAR,402.0,"Brake Pad Set, disc brake",809528747.0,24466
OENumber,OE Number,DG9Z-5C486-A,36,FORD,4401,CL0048,CTR,3229.0,"Link/Coupling Rod, stabiliser bar",1127330379.0,DG9Z-5C486-A
OENumber,OE Number,DG9Z5C486-A,36,FORD,4674,2023-DURR,FEBEST,3229.0,"Link/Coupling Rod, stabiliser bar",368143521.0,DG9Z-5C486-A
OENumber,OE Number,DG9Z-5C486-A,776,FORD USA,101,107935,FEBI BILSTEIN,3229.0,"Link/Coupling Rod, stabiliser bar",548241375.0,DG9Z-5C486-A
OENumber,OE Number,DG9Z-5C486-A,776,FORD USA,129,G7-1609,OPTIMAL,3229.0,"Link/Coupling Rod, stabiliser bar",447133258.0,DG9Z-5C486-A
OENumber,OE Number,8186054P01,109,SUZUKI,37,ML6465,MONROE,219.0,"Gas Spring, boot/cargo area",582758579.0,81860-54P01
OENumber,OE Number,81860 54P01,109,SUZUKI,129,AG-51645,OPTIMAL,219.0,"Gas Spring, boot/cargo area",817751776.0,81860-54P01
OENumber,OE Number,81860 54P01,109,SUZUKI,126,845844,STABILUS,219.0,"Gas Spring, boot/cargo area",160924449.0,81860-54P01
OENumber,OE Number,1806.59,21,CITROËN,475,BEM3831,BORG & BECK,247.0,"Mounting, engine",117381000.0,180659
