matchType,description,match,mfrId,mfrName,part_dataSupplierId,part_articleNumber,part_mfrName,genericArticleId,genericArticleDescription,legacyArticleId,OEM SKU
OENumber,OE Number,A 270 203 00 80,74.0,MERCEDES-BENZ,10,429.490,ELRING,2048.0,Seal Ring,1291142063.0,GDB1757
OENumber,OE Number,A 270 203 00 80,74.0,MERCEDES-BENZ,129,AQ-2535,OPTIMAL,60676.0,"Seal Ring, water pump",1291142064.0,GDB1757
OENumber,OE Number,A 270 203 00 80,74.0,MERCEDES-BENZ,129,AQ-2536,OPTIMAL,1260.0,"Water Pump, engine cooling",870567055.0,GDB1757
OENumber,OE Number,A 270 203 00 80,74.0,MERCEDES-BENZ,129,AQ-2538,OPTIMAL,1260.0,"Water Pump, engine cooling",870567057.0,GDB1757
OENumber,OE Number,A 270 203 00 80,74.0,MERCEDES-BENZ,129,AQ-2539,OPTIMAL,1260.0,"Water Pump, engine cooling",870567062.0,GDB1757
OENumber,OE Number,A 270 203 00 80,74.0,MERCEDES-BENZ,129,AQ-2540,OPTIMAL,1260.0,"Water Pump, engine cooling",870567064.0,GDB1757
,,,,,,,,1260.0,"Water Pump, engine cooling",870567066.0,GDB1757
OENumber,OE Number,1643098080,21.0,CITROËN,21,574688,VALEO,298.0,Wiper Blade,13440150.0,1643098080
OENumber,OE Number,1643098080,84.0,OPEL,21,574688,VALEO,298.0,Wiper Blade,144800546.0,1643098080
OENumber,OE Number,1643098080,88.0,PEUGEOT,21,574688,VALEO,,,,1643098080
OENumber,OE Number,1643098080,117.0,VAUXHALL,21,574688,VALEO,,,,1643098080
OENumber,OE Number,1643098080,21.0,CITROËN,21,575833,VALEO,,,,1643098080
OENumber,OE Number,1643098080,84.0,OPEL,21,575833,VALEO,,,,1643098080
OENumber,OE Number,1643098080,88.0,PEUGEOT,21,575833,VALEO,,,,1643098080
OENumber,OE Number,1643098080,117.0,VAUXHALL,21,575833,VALEO,,,,1643098080
