index,matchType,description,match,mfrId,mfrName,part_dataSupplierId,part_articleNumber,part_mfrName,genericArticleId,genericArticleDescription,legacyArticleId,OEM SKU,OEM DESC
0,OENumber,OE Number,92600-1U600,80.0,NISSAN,21,716890,VALEO,447.0,"Compressor, air conditioning",159902764.0,92600-1U600,Compressor Assembly - Cooler
1,OENumber,OE Number,926001U600,80.0,NISSAN,21,716890,VALEO,,,,92600-1U600,Compressor Assembly - Cooler
0,OENumber,OE Number,926003SH1B,80.0,NISSAN,123,890894,NISSENS,447.0,"Compressor, air conditioning",1186410317.0,92600-3SH1B,Compressor - Air Conditioner
0,OENumber,OE Number,92600ZN41B,80.0,NISSAN,123,890908,NISSENS,447.0,"Compressor, air conditioning",1120031944.0,92600-ZN41B,Compressor Assembly - Cooler
0,OENumber,OE Number,95018101,84.0,OPEL,89,CB1008V,DELPHI,183.0,"Expansion Valve, air conditioning",628572099.0,95018101,Valve Kit Air Conditioning Evaporator Thermal Expansion
1,OENumber,OE Number,95018101,117.0,VAUXHALL,89,CB1008V,DELPHI,,,,95018101,Valve Kit Air Conditioning Evaporator Thermal Expansion
2,OENumber,OE Number,95018101,138.0,CHEVROLET,89,CB1008V,DELPHI,,,,95018101,Valve Kit Air Conditioning Evaporator Thermal Expansion
0,OENumber,OE Number,95374678,84.0,OPEL,123,95786,NISSENS,851.0,"Dryer, air conditioning",1217563328.0,95374678,Receiver & Dehydrator Kit Air Conditioning
1,OENumber,OE Number,95374678,117.0,VAUXHALL,123,95786,NISSENS,,,,95374678,Receiver & Dehydrator Kit Air Conditioning
2,OENumber,OE Number,95374678,138.0,CHEVROLET,123,95786,NISSENS,,,,95374678,Receiver & Dehydrator Kit Air Conditioning
0,OENumber,OE Number,A 000 830 48 01,74.0,MERCEDES-BENZ,287,AE 127 000P,MAHLE,471.0,"Evaporator, air conditioning",617777844.0,A0008304801,Air Conditioning Evaporator Core
0,OENumber,OE Number,A0008351600,74.0,MERCEDES-BENZ,4553,1212096,CTR,183.0,"Expansion Valve, air conditioning",492979452.0,A0008351600,Expansion Valve
1,OENumber,OE Number,A0008351600,74.0,MERCEDES-BENZ,66,DVE17016,DENSO,183.0,"Expansion Valve, air conditioning",583946395.0,A0008351600,Expansion Valve
2,OENumber,OE Number,A 000 835 16 00,74.0,MERCEDES-BENZ,287,AVE 82 000P,MAHLE,183.0,"Expansion Valve, air conditioning",617838660.0,A0008351600,Expansion Valve
3,OENumber,OE Number,A0008351600,74.0,MERCEDES-BENZ,123,999391,NISSENS,183.0,"Expansion Valve, air conditioning",1120048003.0,A0008351600,Expansion Valve
0,OENumber,OE Number,A099 500 0002,74.0,MERCEDES-BENZ,6430,111187,Autostar Germany,448.0,"Condenser, air conditioning",1354264168.0,A0995000002,Air Conditioner Condenser
1,OENumber,OE Number,A0995000002,74.0,MERCEDES-BENZ,66,DCN17058,DENSO,448.0,"Condenser, air conditioning",484650681.0,A0995000002,Air Conditioner Condenser
2,OENumber,OE Number,A 099 500 00 02,74.0,MERCEDES-BENZ,287,AC 41 000S,MAHLE,448.0,"Condenser, air conditioning",617669076.0,A0995000002,Air Conditioner Condenser
3,OENumber,OE Number,A0995000002,74.0,MERCEDES-BENZ,123,940394,NISSENS,448.0,"Condenser, air conditioning",53528317.0,A0995000002,Air Conditioner Condenser
4,OENumber,OE Number,A0995000002,74.0,MERCEDES-BENZ,21,822623,VALEO,448.0,"Condenser, air conditioning",954148066.0,A0995000002,Air Conditioner Condenser
0,OENumber,OE Number,A1698300400,74.0,MERCEDES-BENZ,287,AE 219 000S,MAHLE,471.0,"Evaporator, air conditioning",1372736361.0,A1698300400,Evaporator
1,OENumber,OE Number,A1698300400,74.0,MERCEDES-BENZ,123,92376,NISSENS,471.0,"Evaporator, air conditioning",1023647767.0,A1698300400,Evaporator
0,OENumber,OE Number,A203 500 2154,74.0,MERCEDES-BENZ,6430,111217,Autostar Germany,448.0,"Condenser, air conditioning",1354264216.0,A2035002154,Air Conditioner Condenser
1,OENumber,OE Number,A203 5002 154,74.0,MERCEDES-BENZ,89,TSP0225703,DELPHI,448.0,"Condenser, air conditioning",40182891.0,A2035002154,Air Conditioner Condenser
2,OENumber,OE Number,A2035002154,74.0,MERCEDES-BENZ,66,DCN17026,DENSO,448.0,"Condenser, air conditioning",30482339.0,A2035002154,Air Conditioner Condenser
3,OENumber,OE Number,A2035002154,74.0,MERCEDES-BENZ,4391,1679998480,EUROREPAR,448.0,"Condenser, air conditioning",947109359.0,A2035002154,Air Conditioner Condenser
4,OENumber,OE Number,A2035002154,74.0,MERCEDES-BENZ,4819,260422,HC-Cargo,448.0,"Condenser, air conditioning",140747139.0,A2035002154,Air Conditioner Condenser
5,OENumber,OE Number,A 203 500 21 54,74.0,MERCEDES-BENZ,287,AC 450 000P,MAHLE,448.0,"Condenser, air conditioning",617671672.0,A2035002154,Air Conditioner Condenser
6,OENumber,OE Number,A 203 500 21 54,74.0,MERCEDES-BENZ,287,AC 450 000S,MAHLE,448.0,"Condenser, air conditioning",1201256273.0,A2035002154,Air Conditioner Condenser
7,OENumber,OE Number,A2035002154,74.0,MERCEDES-BENZ,123,940100,NISSENS,448.0,"Condenser, air conditioning",53522058.0,A2035002154,Air Conditioner Condenser
8,OENumber,OE Number,A2035002154,74.0,MERCEDES-BENZ,21,814423,VALEO,448.0,"Condenser, air conditioning",346824817.0,A2035002154,Air Conditioner Condenser
0,OENumber,OE Number,A204 820 02 08,74.0,MERCEDES-BENZ,101,106361,FEBI BILSTEIN,2669.0,Interior Blower,472531335.0,A2048200208,Blower Motor
1,OENumber,OE Number,A2048200208,74.0,MERCEDES-BENZ,95,069412287010,MAGNETI MARELLI,2669.0,Interior Blower,953681132.0,A2048200208,Blower Motor
2,OENumber,OE Number,A 204 820 02 08,74.0,MERCEDES-BENZ,287,AB 119 000P,MAHLE,2669.0,Interior Blower,617612637.0,A2048200208,Blower Motor
3,OENumber,OE Number,A 204 820 02 08,74.0,MERCEDES-BENZ,144,012 237 0001,MEYLE,2669.0,Interior Blower,1263238902.0,A2048200208,Blower Motor
4,OENumber,OE Number,A2048200208,74.0,MERCEDES-BENZ,123,87109,NISSENS,2669.0,Interior Blower,53460986.0,A2048200208,Blower Motor
5,OENumber,OE Number,A204 820 0208,74.0,MERCEDES-BENZ,209,02.59.211,TRUCKTEC AUTOMOTIVE,2669.0,Interior Blower,1367593344.0,A2048200208,Blower Motor
6,OENumber,OE Number,A2048200208,74.0,MERCEDES-BENZ,61,521-0013,TYC,2669.0,Interior Blower,283884636.0,A2048200208,Blower Motor
0,OENumber,OE Number,A211 830 09 08,74.0,MERCEDES-BENZ,101,180776,FEBI BILSTEIN,2669.0,Interior Blower,1217972200.0,A2118300908,Blower Motor
1,OENumber,OE Number,A2118300908,74.0,MERCEDES-BENZ,95,069412331010,MAGNETI MARELLI,2669.0,Interior Blower,953686066.0,A2118300908,Blower Motor
2,OENumber,OE Number,A 211 830 09 08,74.0,MERCEDES-BENZ,287,AB 69 000P,MAHLE,2669.0,Interior Blower,617630253.0,A2118300908,Blower Motor
3,OENumber,OE Number,A 211 830 09 08,3645.0,MERCEDES-BENZ (BBDC),287,AB 69 000P,MAHLE,2669.0,Interior Blower,60212228.0,A2118300908,Blower Motor
4,OENumber,OE Number,A 211 830 09 08,74.0,MERCEDES-BENZ,144,014 236 0030,MEYLE,2669.0,Interior Blower,53460582.0,A2118300908,Blower Motor
5,OENumber,OE Number,A2118300908,74.0,MERCEDES-BENZ,123,87103,NISSENS,2669.0,Interior Blower,277841268.0,A2118300908,Blower Motor
6,OENumber,OE Number,A2118300908,74.0,MERCEDES-BENZ,61,521-0012,TYC,,,,A2118300908,Blower Motor
0,OENumber,OE Number,A2128300284,74.0,MERCEDES-BENZ,4819,260544,HC-Cargo,183.0,"Expansion Valve, air conditioning",140751974.0,A2128300284,Expansion Valve
1,OENumber,OE Number,A 212 830 02 84,74.0,MERCEDES-BENZ,287,AVE 112 000P,MAHLE,183.0,"Expansion Valve, air conditioning",617829477.0,A2128300284,Expansion Valve
0,OENumber,OE Number,A4478350070,74.0,MERCEDES-BENZ,66,DCN17062,DENSO,448.0,"Condenser, air conditioning",627612319.0,A4478350070,Condenser
1,OENumber,OE Number,A4478350070,74.0,MERCEDES-BENZ,95,350203105400,MAGNETI MARELLI,448.0,"Condenser, air conditioning",1340130297.0,A4478350070,Condenser
